,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L210,__init__,score_sar_entry.ScoreSARModule.__init__~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,39,5,41,37,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L210,__init__,score_sar_entry.ScoreSARModule.__init__~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,39,5,41,37,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L216,model,score_sar_entry.ScoreSARModule.model~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,43,5,45,26,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L216,model,score_sar_entry.ScoreSARModule.model~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,43,5,45,26,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L218,input_data,score_sar_entry.ScoreSARModule.input_data~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,47,5,49,31,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L218,input_data,score_sar_entry.ScoreSARModule.input_data~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,47,5,49,31,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L220,recommend_items,score_sar_entry.ScoreSARModule.recommend_items~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,51,5,70,77,0,0,0,20,20,4,0,0,0,0,7,6,0,0,20,20,7,0,0,1,0,0,0,0,0,0,1,8.0,0.75,15.673014640489694,0.006965784284662,9,5,0.8707230355827608,20.89735285398626
7,L220,recommend_items,score_sar_entry.ScoreSARModule.recommend_items~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,51,5,70,77,0,0,0,20,20,4,0,0,0,0,7,6,0,0,20,20,7,0,0,1,0,0,0,0,0,0,1,8.0,0.75,15.673014640489694,0.006965784284662,9,5,0.8707230355827608,20.89735285398626
8,L227,predict_ratings,score_sar_entry.ScoreSARModule.predict_ratings~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,72,5,79,83,0,0,0,8,8,3,0,0,0,0,5,3,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
9,L227,predict_ratings,score_sar_entry.ScoreSARModule.predict_ratings~Fn,L208,L103,/content/recommenders/contrib/azureml_designer_modules/entries/score_sar_entry.py,72,5,79,83,0,0,0,8,8,3,0,0,0,0,5,3,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
10,L295,__init__,SARModel.SARModel.__init__~Fn,L290,L103,/content/recommenders/contrib/sarplus/python/pysarplus/SARModel.py,15,5,30,30,0,2,0,12,16,4,0,0,0,0,9,2,0,2,12,16,9,0,0,0,0,0,0,0,0,0,0,44.82892142331043,2.5,146.50839733531944,0.0195344529780425,15,15,8.139355407517748,58.60335893412778
11,L295,__init__,SARModel.SARModel.__init__~Fn,L290,L103,/content/recommenders/contrib/sarplus/python/pysarplus/SARModel.py,15,5,30,30,0,2,0,12,16,4,0,0,0,0,9,2,0,2,12,16,9,0,0,0,0,0,0,0,0,0,0,44.82892142331043,2.5,146.50839733531944,0.0195344529780425,15,15,8.139355407517748,58.60335893412778
12,L300,predict,SARModel.SARModel.predict~Fn,L290,L103,/content/recommenders/contrib/sarplus/python/pysarplus/SARModel.py,32,5,33,69,0,0,0,2,2,1,0,0,0,0,1,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L300,predict,SARModel.SARModel.predict~Fn,L290,L103,/content/recommenders/contrib/sarplus/python/pysarplus/SARModel.py,32,5,33,69,0,0,0,2,2,1,0,0,0,0,1,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L317,__init__,SARPlus.SARPlus.__init__~Fn,L314,L103,/content/recommenders/contrib/sarplus/python/pysarplus/SARPlus.py,29,5,89,36,0,23,23,36,61,2,0,0,0,0,10,13,0,23,36,61,10,0,0,1,0,0,1,0,0,0,1,33.28421251514428,1.6666666666666667,89.62406251802892,0.0179248125036057,15,12,4.9791145843349405,53.77443751081735
15,L317,__init__,SARPlus.SARPlus.__init__~Fn,L314,L103,/content/recommenders/contrib/sarplus/python/pysarplus/SARPlus.py,29,5,89,36,0,23,23,36,61,2,0,0,0,0,10,13,0,23,36,61,10,0,0,1,0,0,1,0,0,0,1,33.28421251514428,1.6666666666666667,89.62406251802892,0.0179248125036057,15,12,4.9791145843349405,53.77443751081735
