,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L157,format_name,saltautodoc.SaltFunctionDocumenter.format_name~Fn,L154,L103,/content/salt/doc/_ext/saltautodoc.py,20,5,37,79,0,7,3,8,18,4,0,0,0,0,7,1,0,7,8,18,7,0,0,0,0,0,0,0,0,0,0,10.0,1.0,18.09473750504809,0.0060315791683493,7,6,1.0052631947248942,18.09473750504809
1,L185,parse_file,saltdomain.LiterateCoding.parse_file~Fn,L178,L103,/content/salt/doc/_ext/saltdomain.py,37,5,46,32,0,6,6,4,10,1,0,0,0,0,3,2,0,6,4,10,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L191,parse_lit,saltdomain.LiterateCoding.parse_lit~Fn,L178,L103,/content/salt/doc/_ext/saltdomain.py,48,5,68,23,0,7,6,12,21,3,0,0,0,0,10,2,0,7,12,21,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L195,run,saltdomain.LiterateCoding.run~Fn,L178,L103,/content/salt/doc/_ext/saltdomain.py,70,5,122,21,0,4,0,37,53,7,0,0,0,0,34,1,0,4,37,53,34,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
4,L200,parse_file,saltdomain.LiterateFormula.parse_file~Fn,L197,L103,/content/salt/doc/_ext/saltdomain.py,130,5,154,70,0,4,4,17,25,3,0,0,0,0,11,2,0,4,17,25,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L214,run,saltdomain.CurrentFormula.run~Fn,L206,L103,/content/salt/doc/_ext/saltdomain.py,165,5,172,17,0,0,0,8,8,2,0,0,0,0,6,1,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
6,L223,run,saltdomain.Formula.run~Fn,L218,L103,/content/salt/doc/_ext/saltdomain.py,180,5,204,34,0,0,0,19,25,2,0,0,0,0,11,1,0,0,19,25,11,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
7,L232,run,saltdomain.State.run~Fn,L227,L103,/content/salt/doc/_ext/saltdomain.py,212,5,229,34,0,0,0,13,18,2,0,0,0,0,10,1,0,0,13,18,10,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
8,L257,resolve_xref,saltdomain.SaltDomain.resolve_xref~Fn,L243,L103,/content/salt/doc/_ext/saltdomain.py,271,5,279,13,0,0,0,9,9,4,0,0,0,0,5,8,0,0,9,9,5,0,0,1,0,0,1,0,0,0,1,20.264662506490406,1.5,42.793987519471216,0.0095097750043269,9,9,2.377443751081734,28.529325012980813
9,L449,run,conf.ReleasesTree.run~Fn,L446,L103,/content/salt/doc/conf.py,409,5,414,18,0,0,0,6,6,1,0,0,0,0,5,1,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L1156,__init__,noxfile.Tee.__init__~Fn,L1153,L103,/content/salt/noxfile.py,1409,5,1411,29,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L1162,write,noxfile.Tee.write~Fn,L1153,L103,/content/salt/noxfile.py,1413,5,1417,28,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L1165,fileno,noxfile.Tee.fileno~Fn,L1153,L103,/content/salt/noxfile.py,1419,5,1420,35,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L1224,__init__,noxfile.Recompress.__init__~Fn,L1221,L103,/content/salt/noxfile.py,1738,5,1739,31,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L1229,tar_reset,noxfile.Recompress.tar_reset~Fn,L1221,L103,/content/salt/noxfile.py,1741,5,1754,22,0,3,3,11,14,3,0,0,0,0,9,2,0,3,11,14,9,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
15,L1233,recompress,noxfile.Recompress.recompress~Fn,L1221,L103,/content/salt/noxfile.py,1756,5,1787,45,0,4,3,28,32,4,0,0,0,0,20,2,0,4,28,32,20,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
16,L1941,_default_proc,helpers.SaltPkgInstall._default_proc~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,95,5,97,27,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L1945,_default_distro_id,helpers.SaltPkgInstall._default_distro_id~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,99,5,101,34,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L1947,_default_distro_codename,helpers.SaltPkgInstall._default_distro_codename~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,103,5,105,40,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L1949,_default_distro_name,helpers.SaltPkgInstall._default_distro_name~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,107,5,110,51,0,0,0,4,4,2,0,0,0,0,2,1,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L1951,_default_distro_version,helpers.SaltPkgInstall._default_distro_version~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,112,5,114,39,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L1953,_default_pkg_mngr,helpers.SaltPkgInstall._default_pkg_mngr~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,116,5,123,28,0,0,0,8,8,3,0,0,0,1,6,1,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
22,L1957,_default_rm_pkg,helpers.SaltPkgInstall._default_rm_pkg~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,125,5,130,26,0,0,0,6,6,3,0,0,0,0,4,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
23,L1959,_default_salt_pkgs,helpers.SaltPkgInstall._default_salt_pkgs~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,132,5,146,24,0,0,0,15,15,3,0,0,0,0,6,1,0,0,15,15,6,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
24,L1961,_default_install_dir,helpers.SaltPkgInstall._default_install_dir~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,148,5,158,26,0,0,0,11,11,3,0,0,0,0,6,1,0,0,11,11,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L1963,_default_config_path,helpers.SaltPkgInstall._default_config_path~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,160,5,169,26,0,3,3,7,10,2,0,0,0,0,4,1,0,3,7,10,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
26,L1966,_default_version,helpers.SaltPkgInstall._default_version~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,171,5,184,22,0,3,3,11,14,4,0,0,0,1,8,1,0,3,11,14,8,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,47.548875021634686,0.0105664166714743,10,9,2.6416041678685938,31.699250014423125
27,L1971,_default_artifact_version,helpers.SaltPkgInstall._default_artifact_version~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,186,5,201,22,0,3,3,13,16,3,0,0,0,0,8,1,0,3,13,16,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
28,L1974,update_process_path,helpers.SaltPkgInstall.update_process_path~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,203,5,206,81,0,2,0,2,4,1,0,0,0,0,1,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
29,L1976,__attrs_post_init__,helpers.SaltPkgInstall.__attrs_post_init__~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,208,5,360,77,0,1,0,146,153,25,0,0,0,0,64,1,0,1,146,153,64,0,0,4,0,0,1,1,0,0,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0
30,L1978,salt_factories_root_dir,helpers.SaltPkgInstall.salt_factories_root_dir~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,362,5,370,32,0,0,0,9,9,4,0,0,0,0,7,1,0,0,9,9,7,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
31,L1955,_check_retcode,helpers.SaltPkgInstall._check_retcode~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,372,5,380,19,0,4,4,5,9,2,0,0,0,0,4,2,0,4,5,9,4,0,0,0,0,0,0,0,0,0,0,4.0,2.0,24.0,0.004,6,4,1.3333333333333333,12.0
32,L1983,_install_pkgs,helpers.SaltPkgInstall._install_pkgs~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,382,5,464,32,0,11,0,70,83,11,0,0,0,3,55,3,0,11,70,83,55,0,0,2,0,0,1,1,0,0,1,100.36210720983136,3.684210526315789,536.8396941245353,0.0485712104207912,31,26,29.82442745136307,145.71363126237387
33,L1990,package_python_version,helpers.SaltPkgInstall.package_python_version~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,466,5,471,24,0,0,0,6,6,1,0,0,0,0,1,1,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
34,L1992,install,helpers.SaltPkgInstall.install~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,473,5,476,32,0,0,0,4,4,2,0,0,0,2,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
35,L1969,stop_services,helpers.SaltPkgInstall.stop_services~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,478,5,496,21,0,8,6,11,19,3,0,0,0,1,9,1,0,8,11,19,9,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
36,L1988,install_previous,helpers.SaltPkgInstall.install_previous~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,498,5,718,36,0,17,4,189,221,37,0,0,0,3,124,2,0,17,189,221,124,0,0,6,0,0,1,1,0,0,5,223.42124551085624,6.315789473684211,3244.365864715593,0.1712304206377674,93,46,180.2425480397552,513.6912619133022
37,L2004,uninstall,helpers.SaltPkgInstall.uninstall~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,720,5,783,36,0,7,0,50,64,9,0,0,0,1,30,1,0,7,50,64,30,0,0,0,0,0,0,0,0,0,0,15.509775004326936,0.6666666666666666,22.458839376460837,0.0112294196882304,12,7,1.2477132986922683,33.68825906469125
38,L2006,assert_uninstalled,helpers.SaltPkgInstall.assert_uninstalled~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,785,5,817,21,0,6,4,27,33,8,0,0,0,0,16,1,0,6,27,33,16,0,0,0,0,0,0,0,0,0,0,17.509775004326936,1.0,33.0,0.011,11,8,1.8333333333333333,33.0
39,L2009,write_launchd_conf,helpers.SaltPkgInstall.write_launchd_conf~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,819,5,870,46,0,3,0,47,52,3,0,0,0,0,14,2,0,3,47,52,14,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
40,L2012,write_systemd_conf,helpers.SaltPkgInstall.write_systemd_conf~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,872,5,908,36,0,0,0,37,37,6,0,0,0,1,17,3,0,0,37,37,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
41,L2016,__enter__,helpers.SaltPkgInstall.__enter__~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,910,5,919,19,0,0,0,9,10,4,0,0,0,3,7,1,0,0,9,10,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
42,L2019,__exit__,helpers.SaltPkgInstall.__exit__~Fn,L1910,L103,/content/salt/pkg/tests/support/helpers.py,921,5,924,37,0,0,0,4,4,2,0,0,0,2,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
43,L2026,get_service_name,helpers.PkgSystemdSaltDaemonImpl.get_service_name~Fn,L2024,L103,/content/salt/pkg/tests/support/helpers.py,928,5,931,33,0,0,0,4,4,2,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
44,L2033,_default_plist_file,helpers.PkgLaunchdSaltDaemonImpl._default_plist_file~Fn,L2030,L103,/content/salt/pkg/tests/support/helpers.py,939,5,942,63,0,0,0,4,4,1,0,0,0,1,2,1,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
45,L2037,get_service_name,helpers.PkgLaunchdSaltDaemonImpl.get_service_name~Fn,L2030,L103,/content/salt/pkg/tests/support/helpers.py,944,5,950,33,0,0,0,7,7,3,0,0,0,0,6,1,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
