,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L276,default,exception_monitoring.CustomHandler.default~Fn,L274,L103,/content/sanic/examples/exception_monitoring.py,21,5,32,50,0,6,0,4,12,2,0,0,0,0,3,3,0,6,4,12,3,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
1,L338,filter,log_request_id.RequestIdFilter.filter~Fn,L336,L103,/content/sanic/examples/log_request_id.py,12,5,17,19,0,0,0,6,6,3,0,0,0,0,4,2,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L409,__init__,raygun_example.RaygunExceptionReporter.__init__~Fn,L407,L103,/content/sanic/examples/raygun_example.py,11,5,16,50,0,0,0,5,6,2,0,0,0,0,4,2,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L414,default,raygun_example.RaygunExceptionReporter.default~Fn,L407,L103,/content/sanic/examples/raygun_example.py,18,5,20,50,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L446,post,server.SimpleView.post~Fn,L444,L103,/content/sanic/examples/request_stream/server.py,13,5,21,27,0,0,0,9,9,3,0,0,0,0,7,2,0,0,9,9,7,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
5,L473,default,rollbar_example.RollbarExceptionHandler.default~Fn,L471,L103,/content/sanic/examples/rollbar_example.py,14,5,16,50,0,0,0,3,3,1,0,0,0,0,2,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L562,get,simple_async_view.SimpleView.get~Fn,L560,L103,/content/sanic/examples/simple_async_view.py,10,5,11,38,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L567,post,simple_async_view.SimpleView.post~Fn,L560,L103,/content/sanic/examples/simple_async_view.py,13,5,14,39,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L570,put,simple_async_view.SimpleView.put~Fn,L560,L103,/content/sanic/examples/simple_async_view.py,16,5,17,38,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L573,patch,simple_async_view.SimpleView.patch~Fn,L560,L103,/content/sanic/examples/simple_async_view.py,19,5,20,40,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L576,delete,simple_async_view.SimpleView.delete~Fn,L560,L103,/content/sanic/examples/simple_async_view.py,22,5,23,41,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L581,get,simple_async_view.SimpleAsyncView.get~Fn,L579,L103,/content/sanic/examples/simple_async_view.py,27,5,28,44,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
12,L586,post,simple_async_view.SimpleAsyncView.post~Fn,L579,L103,/content/sanic/examples/simple_async_view.py,30,5,31,45,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L589,put,simple_async_view.SimpleAsyncView.put~Fn,L579,L103,/content/sanic/examples/simple_async_view.py,33,5,34,44,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L955,__init__,base.BaseRenderer.__init__~Fn,L953,L103,/content/sanic/guide/webapp/display/base.py,7,5,8,36,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L960,get_builder,base.BaseRenderer.get_builder~Fn,L953,L103,/content/sanic/guide/webapp/display/base.py,10,5,27,26,0,0,0,18,18,2,0,0,0,0,8,3,0,0,18,18,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L979,__init__,base.BaseLayout.__init__~Fn,L977,L103,/content/sanic/guide/webapp/display/layouts/base.py,11,5,12,30,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L984,__call__,base.BaseLayout.__call__~Fn,L977,L103,/content/sanic/guide/webapp/display/layouts/base.py,14,5,19,22,0,0,0,6,6,1,0,0,0,1,2,3,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L988,layout,base.BaseLayout.layout~Fn,L977,L103,/content/sanic/guide/webapp/display/layouts/base.py,21,5,25,13,0,0,0,5,5,1,0,0,0,0,1,3,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
19,L1061,layout,home.HomeLayout.layout~Fn,L1059,L103,/content/sanic/guide/webapp/display/layouts/home.py,13,5,19,17,0,0,0,7,7,1,0,0,0,1,3,3,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L1067,_hero,home.HomeLayout._hero~Fn,L1059,L103,/content/sanic/guide/webapp/display/layouts/home.py,21,5,29,13,0,0,0,9,9,1,0,0,0,1,2,2,0,0,9,9,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
