,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L157,run,scrapydocs.SettingsListDirective.run~Fn,L155,L103,/content/scrapy/docs/_ext/scrapydocs.py,14,5,15,38,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L306,__init__,qps-bench-server.Root.__init__~Fn,L304,L103,/content/scrapy/extras/qps-bench-server.py,11,5,15,27,0,0,0,5,5,1,0,0,0,1,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L310,_reset_stats,qps-bench-server.Root._reset_stats~Fn,L304,L103,/content/scrapy/extras/qps-bench-server.py,17,5,19,59,0,0,0,3,3,1,0,0,0,0,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L313,getChild,qps-bench-server.Root.getChild~Fn,L304,L103,/content/scrapy/extras/qps-bench-server.py,21,5,22,19,0,0,0,2,2,1,0,0,0,0,1,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L317,render,qps-bench-server.Root.render~Fn,L304,L103,/content/scrapy/extras/qps-bench-server.py,24,5,50,17,0,2,0,21,27,4,0,0,0,1,18,2,0,2,21,27,18,0,0,0,0,0,0,0,0,0,0,58.52932501298082,4.0,400.312800138462,0.0333594000115385,24,18,22.23960000769233,100.07820003461548
5,L320,_finish,qps-bench-server.Root._finish~Fn,L304,L103,/content/scrapy/extras/qps-bench-server.py,52,5,55,28,0,0,0,4,4,3,0,0,0,0,3,2,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,20.264662506490406,1.5,47.548875021634686,0.0105664166714743,10,9,2.6416041678685938,31.699250014423125
6,L338,__init__,qpsclient.QPSSpider.__init__~Fn,L329,L103,/content/scrapy/extras/qpsclient.py,29,5,35,60,0,0,0,7,7,3,0,0,0,0,6,3,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,10.0,1.5,34.89699375973561,0.0077548875021634,9,6,1.938721875540867,23.264662506490403
7,L344,start_requests,qpsclient.QPSSpider.start_requests~Fn,L329,L103,/content/scrapy/extras/qpsclient.py,37,5,52,20,0,0,0,14,16,4,0,0,0,0,12,1,0,0,14,16,12,0,0,0,0,0,0,0,0,0,0,36.52932501298081,2.6666666666666665,177.62110647077242,0.0222026383088465,18,13,9.867839248376246,66.60791492653966
8,L348,parse,qpsclient.QPSSpider.parse~Fn,L329,L103,/content/scrapy/extras/qpsclient.py,54,5,55,12,0,0,0,2,2,1,0,0,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L365,__init__,addons.AddonManager.__init__~Fn,L362,L103,/content/scrapy/scrapy/addons.py,18,5,20,35,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L370,load_settings,addons.AddonManager.load_settings~Fn,L362,L103,/content/scrapy/scrapy/addons.py,22,5,53,9,0,8,8,24,32,4,0,0,0,0,9,2,0,8,24,32,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L379,_parse_optional,cmdline.ScrapyArgumentParser._parse_optional~Fn,L377,L103,/content/scrapy/scrapy/cmdline.py,18,5,23,50,0,1,0,4,6,2,0,0,0,0,3,2,0,1,4,6,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
12,L444,short_desc,bench.Command.short_desc~Fn,L441,L103,/content/scrapy/scrapy/commands/bench.py,18,5,19,41,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L448,run,bench.Command.run~Fn,L441,L103,/content/scrapy/scrapy/commands/bench.py,21,5,24,40,0,0,0,4,4,1,0,0,0,0,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L456,__enter__,bench._BenchServer.__enter__~Fn,L449,L103,/content/scrapy/scrapy/commands/bench.py,28,5,33,35,0,0,0,5,6,1,0,0,0,0,4,1,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L458,__exit__,bench._BenchServer.__exit__~Fn,L449,L103,/content/scrapy/scrapy/commands/bench.py,35,5,38,23,0,0,0,4,4,1,0,0,0,0,3,4,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L471,start_requests,bench._BenchSpider.start_requests~Fn,L463,L103,/content/scrapy/scrapy/commands/bench.py,50,5,53,54,0,0,0,4,4,1,0,0,0,0,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
17,L478,parse,bench._BenchSpider.parse~Fn,L463,L103,/content/scrapy/scrapy/commands/bench.py,55,5,57,63,0,0,0,3,3,2,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L486,printSummary,check.TextTestResult.printSummary~Fn,L484,L103,/content/scrapy/scrapy/commands/check.py,13,5,38,23,0,0,0,22,26,6,0,0,0,0,19,3,0,0,22,26,19,0,0,0,0,0,0,0,0,0,0,16.36452797660028,1.5,36.0,0.008,8,8,2.0,24.0
19,L496,syntax,check.Command.syntax~Fn,L492,L103,/content/scrapy/scrapy/commands/check.py,45,5,46,35,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L500,short_desc,check.Command.short_desc~Fn,L492,L103,/content/scrapy/scrapy/commands/check.py,48,5,49,39,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
21,L502,add_options,check.Command.add_options~Fn,L492,L103,/content/scrapy/scrapy/commands/check.py,51,5,67,9,0,0,0,17,17,1,0,0,0,0,3,2,0,0,17,17,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
22,L505,run,check.Command.run~Fn,L492,L103,/content/scrapy/scrapy/commands/check.py,69,5,108,63,0,3,0,31,40,12,0,0,0,1,29,3,0,3,31,40,29,0,0,1,0,0,1,1,0,0,0,24.406371956566694,1.5,59.79470570797253,0.0132877123795494,12,10,3.321928094887363,39.86313713864836
23,L516,syntax,crawl.Command.syntax~Fn,L513,L103,/content/scrapy/scrapy/commands/crawl.py,8,5,9,35,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L520,short_desc,crawl.Command.short_desc~Fn,L513,L103,/content/scrapy/scrapy/commands/crawl.py,11,5,12,29,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L522,run,crawl.Command.run~Fn,L513,L103,/content/scrapy/scrapy/commands/crawl.py,14,5,37,33,0,0,0,21,24,8,0,0,0,0,11,3,0,0,21,24,11,0,0,0,0,0,0,0,0,0,0,49.66338827944709,2.727272727272727,196.36363636363637,0.024,18,16,10.909090909090908,72.0
26,L533,syntax,edit.Command.syntax~Fn,L529,L103,/content/scrapy/scrapy/commands/edit.py,12,5,13,25,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L537,short_desc,edit.Command.short_desc~Fn,L529,L103,/content/scrapy/scrapy/commands/edit.py,15,5,16,28,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
28,L539,long_desc,edit.Command.long_desc~Fn,L529,L103,/content/scrapy/scrapy/commands/edit.py,18,5,22,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
29,L541,_err,edit.Command._err~Fn,L529,L103,/content/scrapy/scrapy/commands/edit.py,24,5,26,25,0,0,0,3,3,1,0,0,0,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
30,L544,run,edit.Command.run~Fn,L529,L103,/content/scrapy/scrapy/commands/edit.py,28,5,40,56,0,0,0,11,13,3,0,0,0,1,9,3,0,0,11,13,9,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
31,L555,syntax,fetch.Command.syntax~Fn,L552,L103,/content/scrapy/scrapy/commands/fetch.py,18,5,19,32,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
32,L559,short_desc,fetch.Command.short_desc~Fn,L552,L103,/content/scrapy/scrapy/commands/fetch.py,21,5,22,56,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
33,L561,long_desc,fetch.Command.long_desc~Fn,L552,L103,/content/scrapy/scrapy/commands/fetch.py,24,5,28,9,0,0,0,5,5,1,0,0,0,0,1,1,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
34,L563,add_options,fetch.Command.add_options~Fn,L552,L103,/content/scrapy/scrapy/commands/fetch.py,30,5,45,9,0,0,0,16,16,1,0,0,0,0,4,2,0,0,16,16,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
35,L566,_print_headers,fetch.Command._print_headers~Fn,L552,L103,/content/scrapy/scrapy/commands/fetch.py,47,5,50,70,0,0,0,4,4,3,0,0,0,1,3,3,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,24.0,0.5,19.01955000865388,0.0126797000057692,12,9,1.0566416671474377,38.03910001730775
36,L572,_print_response,fetch.Command._print_response~Fn,L552,L103,/content/scrapy/scrapy/commands/fetch.py,52,5,58,44,0,0,0,7,7,2,0,0,0,2,5,3,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
