,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L147,setup,sfp__stor_db.sfp__stor_db.setup~Fn,L141,L103,/content/spiderfoot/modules/sfp__stor_db.py,37,5,41,42,0,0,0,4,5,2,0,0,0,0,3,3,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L154,watchedEvents,sfp__stor_db.sfp__stor_db.watchedEvents~Fn,L141,L103,/content/spiderfoot/modules/sfp__stor_db.py,46,5,47,20,0,3,0,2,2,1,0,0,0,0,1,1,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L156,handleEvent,sfp__stor_db.sfp__stor_db.handleEvent~Fn,L141,L103,/content/spiderfoot/modules/sfp__stor_db.py,50,5,60,63,0,1,0,9,11,4,0,0,0,0,8,2,0,1,9,11,8,0,0,0,0,0,0,0,0,0,0,40.13896548741762,3.055555555555556,197.77093622910328,0.021575011224993,17,14,10.987274234950185,64.72503367497926
3,L169,setup,sfp__stor_stdout.sfp__stor_stdout.setup~Fn,L162,L103,/content/spiderfoot/modules/sfp__stor_stdout.py,44,5,48,42,0,0,0,4,5,2,0,0,0,0,3,3,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L176,watchedEvents,sfp__stor_stdout.sfp__stor_stdout.watchedEvents~Fn,L162,L103,/content/spiderfoot/modules/sfp__stor_stdout.py,53,5,54,20,0,3,0,2,2,1,0,0,0,0,1,1,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L178,output,sfp__stor_stdout.sfp__stor_stdout.output~Fn,L162,L103,/content/spiderfoot/modules/sfp__stor_stdout.py,56,5,104,40,0,0,0,40,49,14,0,0,0,0,35,2,0,0,40,49,35,0,0,1,0,0,1,1,0,0,0,133.82107314610522,3.076923076923077,731.696685841754,0.07926714096619,48,31,40.64981588009744,237.80142289857
6,L181,handleEvent,sfp__stor_stdout.sfp__stor_stdout.handleEvent~Fn,L162,L103,/content/spiderfoot/modules/sfp__stor_stdout.py,107,5,115,32,0,1,0,8,9,4,0,0,0,1,6,2,0,1,8,9,6,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.3333333333333333,18.575424759098897,0.0046438561897747,6,5,1.0319680421721609,13.931568569324174
7,L195,setup,sfp_abstractapi.sfp_abstractapi.setup~Fn,L188,L103,/content/spiderfoot/modules/sfp_abstractapi.py,62,5,68,42,0,0,0,6,7,2,0,0,0,0,5,3,0,0,6,7,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L202,watchedEvents,sfp_abstractapi.sfp_abstractapi.watchedEvents~Fn,L188,L103,/content/spiderfoot/modules/sfp_abstractapi.py,70,5,71,76,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L204,producedEvents,sfp_abstractapi.sfp_abstractapi.producedEvents~Fn,L188,L103,/content/spiderfoot/modules/sfp_abstractapi.py,73,5,74,116,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
