,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L268,__init__,downloader.Downloader.__init__~Fn,L265,L103,/content/spotify-downloader/spotdl/download/downloader.py,97,5,216,46,0,26,12,74,120,19,0,0,0,0,50,3,0,26,74,120,50,0,0,3,0,0,1,1,0,0,2,86.66829050039843,3.611111111111111,637.0683088113627,0.0588063054287411,39,23,35.392683822853485,176.41891628622352
1,L277,download_song,downloader.Downloader.download_song~Fn,L265,L103,/content/spotify-downloader/spotdl/download/downloader.py,218,5,233,25,0,11,9,4,16,1,0,0,0,1,3,2,0,11,4,16,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L281,download_multiple_songs,downloader.Downloader.download_multiple_songs~Fn,L265,L103,/content/spotify-downloader/spotdl/download/downloader.py,235,5,328,22,0,18,9,59,94,15,0,0,0,1,36,2,0,18,59,94,36,0,0,1,0,0,1,1,0,0,0,41.21928094887362,2.0,114.22064766172812,0.019036774610288,15,14,6.345591536762672,57.11032383086405
3,L286,pool_download,downloader.Downloader.pool_download~Fn,L265,L103,/content/spotify-downloader/spotdl/download/downloader.py,330,5,347,88,0,17,12,3,18,1,0,0,0,0,2,2,0,17,3,18,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L291,search,downloader.Downloader.search~Fn,L265,L103,/content/spotify-downloader/spotdl/download/downloader.py,349,5,367,76,0,11,9,7,19,3,0,0,0,0,6,2,0,11,7,19,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L295,search_lyrics,downloader.Downloader.search_lyrics~Fn,L265,L103,/content/spotify-downloader/spotdl/download/downloader.py,369,5,395,19,0,11,9,14,27,3,0,0,0,0,7,2,0,11,14,27,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L299,search_and_download,downloader.Downloader.search_and_download~Fn,L265,L103,/content/spotify-downloader/spotdl/download/downloader.py,397,5,800,29,0,67,12,280,404,60,0,0,0,2,131,2,0,67,280,404,131,0,0,6,0,0,1,1,0,0,5,462.26909213502137,6.0,4855.240776873494,0.2697355987151941,128,80,269.7355987151941,809.2067961455823
7,L317,__init__,progress_handler.SizedTextColumn.__init__~Fn,L314,L103,/content/spotify-downloader/spotdl/download/progress_handler.py,47,5,77,26,0,12,12,18,31,1,0,0,0,0,8,8,0,12,18,31,8,0,0,1,0,0,1,0,0,0,1,10.0,1.0,18.09473750504809,0.0060315791683493,7,6,1.0052631947248942,18.09473750504809
8,L329,render,progress_handler.SizedTextColumn.render~Fn,L314,L103,/content/spotify-downloader/spotdl/download/progress_handler.py,79,5,99,19,0,9,9,10,21,3,0,0,0,0,8,2,0,9,10,21,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L336,__init__,progress_handler.ProgressHandler.__init__~Fn,L333,L103,/content/spotify-downloader/spotdl/download/progress_handler.py,107,5,157,46,0,12,7,34,51,2,0,0,0,0,15,4,0,12,34,51,15,0,0,0,0,0,0,0,0,0,0,10.0,1.0,18.09473750504809,0.0060315791683493,7,6,1.0052631947248942,18.09473750504809
