,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L528,__init__,st_help.FooWithLongDocs.__init__~Fn,L525,L103,/content/streamlit/e2e/scripts/st_help.py,69,5,70,27,0,0,0,2,2,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L532,my_func_1,st_help.FooWithLongDocs.my_func_1~Fn,L525,L103,/content/streamlit/e2e/scripts/st_help.py,72,5,73,24,0,1,1,1,2,1,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L537,my_func_2,st_help.FooWithLongDocs.my_func_2~Fn,L525,L103,/content/streamlit/e2e/scripts/st_help.py,75,5,77,12,0,1,0,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L632,__init__,st_magic.MyClass.__init__~Fn,L629,L103,/content/streamlit/e2e/scripts/st_magic.py,151,5,152,41,0,1,1,1,2,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L1038,__init__,conftest.AsyncSubprocess.__init__~Fn,L1035,L103,/content/streamlit/e2e_playwright/conftest.py,46,5,51,32,0,0,0,6,6,2,0,0,0,0,5,4,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
5,L1045,terminate,conftest.AsyncSubprocess.terminate~Fn,L1035,L103,/content/streamlit/e2e_playwright/conftest.py,53,5,68,21,0,2,1,12,16,3,0,0,0,0,11,1,0,2,12,16,11,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
6,L1048,__enter__,conftest.AsyncSubprocess.__enter__~Fn,L1035,L103,/content/streamlit/e2e_playwright/conftest.py,70,5,72,19,0,0,0,3,3,1,0,0,0,1,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L1050,start,conftest.AsyncSubprocess.start~Fn,L1035,L103,/content/streamlit/e2e_playwright/conftest.py,74,5,88,9,0,4,0,11,15,1,0,0,0,0,3,1,0,4,11,15,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L1053,__exit__,conftest.AsyncSubprocess.__exit__~Fn,L1035,L103,/content/streamlit/e2e_playwright/conftest.py,90,5,96,36,0,0,0,7,7,3,0,0,0,0,6,4,0,0,7,7,6,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
9,L1114,__call__,conftest.ImageCompareFunction.__call__~Fn,L1112,L103,/content/streamlit/e2e_playwright/conftest.py,259,5,283,11,0,16,16,9,25,1,0,0,0,0,0,6,0,16,9,25,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0
