,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L120,as_dict,batch.BatchBase.as_dict~Fn,L118,L103,/content/the-algorithm-ml/common/batch.py,15,3,17,29,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L124,to,batch.BatchBase.to~Fn,L118,L103,/content/the-algorithm-ml/common/batch.py,19,3,23,33,0,0,0,5,5,2,0,0,0,1,4,3,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L132,record_stream,batch.BatchBase.record_stream~Fn,L118,L103,/content/the-algorithm-ml/common/batch.py,25,3,27,41,0,0,0,3,3,2,0,0,0,1,2,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L135,pin_memory,batch.BatchBase.pin_memory~Fn,L118,L103,/content/the-algorithm-ml/common/batch.py,29,3,33,33,0,0,0,5,5,2,0,0,0,1,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L137,__repr__,batch.BatchBase.__repr__~Fn,L118,L103,/content/the-algorithm-ml/common/batch.py,35,3,39,80,0,0,0,2,3,1,0,0,0,2,1,1,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L142,batch_size,batch.BatchBase.batch_size~Fn,L118,L103,/content/the-algorithm-ml/common/batch.py,41,3,49,67,0,0,0,9,9,4,0,0,0,1,7,1,0,0,9,9,7,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
6,L146,feature_names,batch.DataclassBatch.feature_names~Fn,L144,L103,/content/the-algorithm-ml/common/batch.py,54,3,56,48,0,0,0,3,3,1,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L148,as_dict,batch.DataclassBatch.as_dict~Fn,L144,L103,/content/the-algorithm-ml/common/batch.py,58,3,63,5,0,0,0,6,6,1,0,0,0,1,1,1,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L153,from_schema,batch.DataclassBatch.from_schema~Fn,L144,L103,/content/the-algorithm-ml/common/batch.py,65,3,72,5,0,1,1,7,8,1,0,0,0,0,1,2,0,1,7,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L157,from_fields,batch.DataclassBatch.from_fields~Fn,L144,L103,/content/the-algorithm-ml/common/batch.py,74,3,80,5,0,0,0,7,7,1,0,0,0,0,1,2,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
