,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L357,__init__,main.YOLOv8.__init__~Fn,L354,L103,/content/ultralytics/examples/YOLOv8-ONNXRuntime/main.py,15,5,34,83,0,11,9,7,20,1,0,0,0,0,6,5,0,11,7,20,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L366,draw_detections,main.YOLOv8.draw_detections~Fn,L354,L103,/content/ultralytics/examples/YOLOv8-ONNXRuntime/main.py,36,5,74,109,0,20,12,11,39,2,0,0,0,0,9,5,0,20,11,39,9,0,0,0,0,0,0,0,0,0,0,37.97416845103709,2.7,269.76205545248564,0.0333039574632698,27,13,14.986780858471423,99.91187238980947
2,L373,preprocess,main.YOLOv8.preprocess~Fn,L354,L103,/content/ultralytics/examples/YOLOv8-ONNXRuntime/main.py,76,5,105,25,0,15,6,9,30,1,0,0,0,0,8,1,0,15,9,30,8,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L376,postprocess,main.YOLOv8.postprocess~Fn,L354,L103,/content/ultralytics/examples/YOLOv8-ONNXRuntime/main.py,107,5,175,26,0,27,10,28,69,4,0,0,0,1,27,3,0,27,28,69,27,0,0,0,0,0,0,0,0,0,0,77.48686830125578,2.588235294117647,375.1555822279272,0.0483154916505663,33,21,20.8419767904404,144.94647495169912
4,L382,main,main.YOLOv8.main~Fn,L354,L103,/content/ultralytics/examples/YOLOv8-ONNXRuntime/main.py,177,5,202,50,0,13,6,9,26,1,0,0,0,2,8,1,0,13,9,26,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L775,__init__,augment.BaseTransform.__init__~Fn,L772,L103,/content/ultralytics/ultralytics/data/augment.py,37,5,39,12,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L780,apply_image,augment.BaseTransform.apply_image~Fn,L772,L103,/content/ultralytics/ultralytics/data/augment.py,41,5,43,12,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L784,apply_instances,augment.BaseTransform.apply_instances~Fn,L772,L103,/content/ultralytics/ultralytics/data/augment.py,45,5,47,12,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L788,apply_semantic,augment.BaseTransform.apply_semantic~Fn,L772,L103,/content/ultralytics/ultralytics/data/augment.py,49,5,51,12,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L792,__call__,augment.BaseTransform.__call__~Fn,L772,L103,/content/ultralytics/ultralytics/data/augment.py,53,5,57,35,0,1,1,4,5,1,0,0,0,3,3,2,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
10,L802,__init__,augment.Compose.__init__~Fn,L799,L103,/content/ultralytics/ultralytics/data/augment.py,63,5,65,36,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L808,__call__,augment.Compose.__call__~Fn,L799,L103,/content/ultralytics/ultralytics/data/augment.py,67,5,71,19,0,1,1,4,5,2,0,0,0,0,3,2,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
12,L812,append,augment.Compose.append~Fn,L799,L103,/content/ultralytics/ultralytics/data/augment.py,73,5,75,41,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
13,L816,tolist,augment.Compose.tolist~Fn,L799,L103,/content/ultralytics/ultralytics/data/augment.py,77,5,79,30,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L819,__repr__,augment.Compose.__repr__~Fn,L799,L103,/content/ultralytics/ultralytics/data/augment.py,81,5,83,91,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
15,L825,__init__,augment.BaseMixTransform.__init__~Fn,L822,L103,/content/ultralytics/ultralytics/data/augment.py,93,5,97,18,0,1,1,4,5,1,0,0,0,0,3,4,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L833,__call__,augment.BaseMixTransform.__call__~Fn,L822,L103,/content/ultralytics/ultralytics/data/augment.py,99,5,120,21,0,4,1,14,22,5,0,0,0,2,13,2,0,4,14,22,13,0,0,0,0,0,0,0,0,0,0,6.754887502163469,1.0,11.60964047443681,0.0038698801581456,5,5,0.6449800263576005,11.60964047443681
17,L837,_mix_transform,augment.BaseMixTransform._mix_transform~Fn,L822,L103,/content/ultralytics/ultralytics/data/augment.py,122,5,124,33,0,1,1,2,3,1,0,0,0,0,1,2,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,68.33680652339717,0.0132877123795494,12,10,3.796489251299843,39.86313713864836
18,L839,get_indexes,augment.BaseMixTransform.get_indexes~Fn,L822,L103,/content/ultralytics/ultralytics/data/augment.py,126,5,128,33,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
19,L849,__init__,augment.Mosaic.__init__~Fn,L846,L103,/content/ultralytics/ultralytics/data/augment.py,145,5,153,18,0,2,1,8,9,1,0,0,0,0,7,5,0,2,8,9,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L858,get_indexes,augment.Mosaic.get_indexes~Fn,L846,L103,/content/ultralytics/ultralytics/data/augment.py,155,5,160,88,0,3,1,5,6,2,0,0,0,0,3,2,0,3,5,6,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
21,L862,_mix_transform,augment.Mosaic._mix_transform~Fn,L846,L103,/content/ultralytics/ultralytics/data/augment.py,162,5,166,78,0,1,1,4,5,2,0,0,0,2,3,2,0,1,4,5,3,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.7142857142857142,68.33680652339717,0.0132877123795494,12,10,3.796489251299843,39.86313713864836
22,L866,_mosaic4,augment.Mosaic._mosaic4~Fn,L846,L103,/content/ultralytics/ultralytics/data/augment.py,168,5,202,27,0,12,1,29,35,7,0,0,0,2,28,2,0,12,29,35,28,0,0,0,0,0,0,0,0,0,0,109.71713608445737,8.295454545454545,4338.8348457241655,0.1743458750793272,110,27,241.0463803180092,523.0376252379816
23,L868,_mosaic9,augment.Mosaic._mosaic9~Fn,L846,L103,/content/ultralytics/ultralytics/data/augment.py,204,5,250,27,0,20,1,37,47,12,0,0,0,2,36,2,0,20,37,47,36,0,0,1,0,0,1,1,0,0,0,217.7403270100645,7.82051282051282,7898.677668759218,0.3366649498159667,185,44,438.8154260421788,1009.9948494479
24,L873,_update_labels,augment.Mosaic._update_labels~Fn,L846,L103,/content/ultralytics/ultralytics/data/augment.py,252,5,259,21,0,1,1,7,8,1,0,0,0,0,5,3,0,1,7,8,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
25,L875,_cat_labels,augment.Mosaic._cat_labels~Fn,L846,L103,/content/ultralytics/ultralytics/data/augment.py,261,5,281,27,0,3,1,20,21,3,0,0,0,0,13,2,0,3,20,21,13,0,0,0,0,0,0,0,0,0,0,10.0,1.0,15.509775004326936,0.0051699250014423,6,6,0.861654166907052,15.509775004326936
26,L890,__init__,augment.MixUp.__init__~Fn,L887,L103,/content/ultralytics/ultralytics/data/augment.py,287,5,289,75,0,1,1,2,3,1,0,0,0,0,1,4,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L898,get_indexes,augment.MixUp.get_indexes~Fn,L887,L103,/content/ultralytics/ultralytics/data/augment.py,291,5,293,55,0,1,1,2,3,1,0,0,0,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
