,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L356,relu,activations._ArrayWithActivations.relu~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,13,5,47,71,0,27,27,8,35,1,0,0,0,0,1,3,0,27,8,35,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L363,leaky_relu,activations._ArrayWithActivations.leaky_relu~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,49,5,88,9,0,29,29,11,40,1,0,0,0,0,1,4,0,29,11,40,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2,L369,gelu,activations._ArrayWithActivations.gelu~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,90,5,129,9,0,29,29,11,40,1,0,0,0,0,1,4,0,29,11,40,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L375,sigmoid,activations._ArrayWithActivations.sigmoid~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,131,5,167,74,0,29,29,8,37,1,0,0,0,0,1,3,0,29,8,37,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
4,L380,softmax,activations._ArrayWithActivations.softmax~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,169,5,206,85,0,29,29,9,38,1,0,0,0,0,1,4,0,29,9,38,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L386,softplus,activations._ArrayWithActivations.softplus~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,208,5,263,9,0,40,40,16,56,1,0,0,0,0,1,5,0,40,16,56,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L393,log_softmax,activations._ArrayWithActivations.log_softmax~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,265,5,311,9,0,33,33,14,47,1,0,0,0,0,1,4,0,33,14,47,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L399,mish,activations._ArrayWithActivations.mish~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,313,5,342,71,0,22,22,8,30,1,0,0,0,0,1,3,0,22,8,30,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L404,hardswish,activations._ArrayWithActivations.hardswish~Fn,L354,L103,/content/ivy/ivy/data_classes/array/activations.py,344,5,388,76,0,37,37,8,45,1,0,0,0,0,1,3,0,37,8,45,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L414,__init__,array.Array.__init__~Fn,L412,L103,/content/ivy/ivy/data_classes/array/array.py,97,5,138,35,0,0,0,42,42,1,0,0,0,2,41,3,0,0,42,42,41,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
