,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L141,reply,baidu_unit_bot.BaiduUnitBot.reply~Fn,L139,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_unit_bot.py,11,5,27,24,0,0,0,17,17,2,0,0,0,1,9,3,0,0,17,17,9,0,0,0,0,0,0,0,0,0,0,15.509775004326936,0.5,12.63309714925922,0.0084220647661728,9,7,0.701838730514401,25.26619429851844
1,L147,get_token,baidu_unit_bot.BaiduUnitBot.get_token~Fn,L139,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_unit_bot.py,29,5,36,50,0,0,0,8,8,2,0,0,0,0,7,1,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,15.509775004326936,0.5,12.63309714925922,0.0084220647661728,9,7,0.701838730514401,25.26619429851844
2,L157,__init__,baidu_wenxin.BaiduWenxinBot.__init__~Fn,L155,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_wenxin.py,17,5,19,114,0,0,0,3,3,2,0,0,0,1,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
3,L161,reply,baidu_wenxin.BaiduWenxinBot.reply~Fn,L155,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_wenxin.py,21,5,59,28,0,1,0,37,39,9,0,0,0,1,27,3,0,1,37,39,27,0,0,0,0,0,0,0,0,0,0,30.529325012980813,1.3333333333333333,83.02635884729514,0.0207565897118237,18,11,4.612575491516397,62.26976913547136
4,L165,reply_text,baidu_wenxin.BaiduWenxinBot.reply_text~Fn,L155,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_wenxin.py,61,5,95,25,0,0,0,35,35,3,0,0,0,1,23,3,0,0,35,35,23,0,0,0,0,0,0,0,0,0,0,33.28421251514428,1.6666666666666667,89.62406251802892,0.0179248125036057,15,12,4.9791145843349405,53.77443751081735
5,L170,get_access_token,baidu_wenxin.BaiduWenxinBot.get_access_token~Fn,L155,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_wenxin.py,97,5,104,80,0,4,4,4,8,1,0,0,0,0,3,1,0,4,4,8,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L179,__init__,baidu_wenxin_session.BaiduWenxinSession.__init__~Fn,L177,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_wenxin_session.py,14,5,16,26,0,0,0,3,3,1,0,0,0,0,2,4,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L186,discard_exceeding,baidu_wenxin_session.BaiduWenxinSession.discard_exceeding~Fn,L177,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_wenxin_session.py,20,5,40,25,0,2,0,21,21,6,0,0,0,1,17,3,0,2,21,21,17,0,0,0,0,0,0,0,0,0,0,19.60964047443681,3.2,121.72512005538482,0.0126797000057692,12,9,6.762506669743601,38.03910001730775
8,L190,calc_tokens,baidu_wenxin_session.BaiduWenxinSession.calc_tokens~Fn,L177,L103,/content/chatgpt-on-wechat/bot/baidu/baidu_wenxin_session.py,42,5,43,66,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L204,reply,bot.Bot.reply~Fn,L202,L103,/content/chatgpt-on-wechat/bot/bot.py,11,5,17,33,0,5,5,2,7,1,0,0,0,0,1,3,0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
10,L227,__init__,chat_gpt_bot.ChatGPTBot.__init__~Fn,L225,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_bot.py,22,5,44,9,0,8,0,20,23,6,0,0,0,1,11,1,0,8,20,23,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
11,L231,reply,chat_gpt_bot.ChatGPTBot.reply~Fn,L225,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_bot.py,46,5,107,24,0,4,0,54,62,12,0,0,0,3,43,3,0,4,54,62,43,0,0,1,0,0,1,1,0,0,0,56.1057163358342,2.769230769230769,305.6164524381023,0.036787165571253,27,17,16.978691802116796,110.36149671375918
12,L235,reply_text,chat_gpt_bot.ChatGPTBot.reply_text~Fn,L225,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_bot.py,109,5,162,29,0,10,7,43,54,13,0,0,0,1,35,5,0,10,43,54,35,0,0,1,0,0,1,1,0,0,0,35.60964047443681,3.4375,216.24444602887007,0.0209691584027995,17,13,12.013580334937226,62.907475208398566
13,L245,__init__,chat_gpt_bot.AzureChatGPTBot.__init__~Fn,L243,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_bot.py,166,5,170,70,0,0,0,5,5,1,0,0,0,1,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
14,L249,create_img,chat_gpt_bot.AzureChatGPTBot.create_img~Fn,L243,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_bot.py,172,5,193,46,0,0,0,22,22,4,0,0,0,1,20,4,0,0,22,22,20,0,0,0,0,0,0,0,0,0,0,37.97416845103709,1.8,119.8942468677714,0.0222026383088465,18,13,6.660791492653967,66.60791492653966
15,L259,__init__,chat_gpt_session.ChatGPTSession.__init__~Fn,L257,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_session.py,15,5,18,20,0,0,0,4,4,1,0,0,0,0,3,4,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
16,L266,discard_exceeding,chat_gpt_session.ChatGPTSession.discard_exceeding~Fn,L257,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_session.py,20,5,49,25,0,0,0,30,30,11,0,0,0,1,25,3,0,0,30,30,25,0,0,1,0,0,1,1,0,0,0,70.2129994085646,3.6666666666666665,522.9532994813709,0.0475412090437609,33,20,29.05296108229838,142.62362713128297
17,L270,calc_tokens,chat_gpt_session.ChatGPTSession.calc_tokens~Fn,L257,L103,/content/chatgpt-on-wechat/bot/chatgpt/chat_gpt_session.py,51,5,52,66,0,0,0,2,2,1,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
18,L291,__init__,claude_ai_bot.ClaudeAIBot.__init__~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,17,5,31,50,0,0,0,15,15,3,0,0,0,2,10,1,0,0,15,15,10,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
19,L297,generate_uuid,claude_ai_bot.ClaudeAIBot.generate_uuid~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,33,5,37,29,0,0,0,5,5,1,0,0,0,0,4,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
20,L299,reply,claude_ai_bot.ClaudeAIBot.reply~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,39,5,51,24,0,0,0,13,13,4,0,0,0,1,10,3,0,0,13,13,10,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
21,L295,get_organization_id,claude_ai_bot.ClaudeAIBot.get_organization_id~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,53,5,79,19,0,0,0,27,27,4,0,0,0,0,14,1,0,0,27,27,14,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
22,L306,conversation_share_check,claude_ai_bot.ClaudeAIBot.conversation_share_check~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,81,5,88,44,0,0,0,8,8,4,0,0,0,3,7,2,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,32.0,2.0,86.03910001730776,0.0143398500028846,12,12,4.779950000961542,43.01955000865388
23,L312,check_cookie,claude_ai_bot.ClaudeAIBot.check_cookie~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,90,5,92,19,0,0,0,3,3,1,0,0,0,1,2,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
24,L310,create_new_chat,claude_ai_bot.ClaudeAIBot.create_new_chat~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,94,5,119,30,0,6,5,20,26,1,0,0,0,0,5,2,0,6,20,26,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
25,L303,_chat,claude_ai_bot.ClaudeAIBot._chat~Fn,L289,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_bot.py,121,5,222,62,0,13,7,79,102,15,0,0,0,3,50,4,0,13,79,102,50,0,0,3,0,0,1,1,0,0,2,150.11571282193984,3.642857142857143,945.1779178637238,0.0864868683012557,51,34,52.50988432576244,259.4606049037673
26,L329,__init__,claude_ai_session.ClaudeAiSession.__init__~Fn,L327,L103,/content/chatgpt-on-wechat/bot/claude/claude_ai_session.py,5,5,7,26,0,0,0,3,3,1,0,0,0,0,2,4,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
27,L347,__init__,link_ai_bot.LinkAIBot.__init__~Fn,L343,L103,/content/chatgpt-on-wechat/bot/linkai/link_ai_bot.py,23,5,26,22,0,0,0,4,4,2,0,0,0,1,3,1,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
28,L351,reply,link_ai_bot.LinkAIBot.reply~Fn,L343,L103,/content/chatgpt-on-wechat/bot/linkai/link_ai_bot.py,28,5,40,24,0,0,0,13,13,4,0,0,0,1,10,3,0,0,13,13,10,0,0,0,0,0,0,0,0,0,0,4.754887502163469,0.6666666666666666,8.0,0.004,6,4,0.4444444444444444,12.0
29,L355,_chat,link_ai_bot.LinkAIBot._chat~Fn,L343,L103,/content/chatgpt-on-wechat/bot/linkai/link_ai_bot.py,42,5,123,62,0,17,7,59,82,13,0,0,0,2,45,4,0,17,59,82,45,0,0,1,0,0,1,1,0,0,0,106.10749561002054,2.363636363636364,433.2950794722789,0.0611057163358342,39,26,24.07194885957105,183.31714900750265
30,L364,reply_text,link_ai_bot.LinkAIBot.reply_text~Fn,L343,L103,/content/chatgpt-on-wechat/bot/linkai/link_ai_bot.py,125,5,188,70,0,8,0,53,64,7,0,0,0,1,28,4,0,8,53,64,28,0,0,0,0,0,0,0,0,0,0,51.01955000865388,2.6666666666666665,256.0,0.032,24,16,14.22222222222222,96.0
31,L362,_fecth_knowledge_search_suffix,link_ai_bot.LinkAIBot._fecth_knowledge_search_suffix~Fn,L343,L103,/content/chatgpt-on-wechat/bot/linkai/link_ai_bot.py,191,5,206,31,0,0,0,16,16,8,0,0,0,1,14,2,0,0,16,16,14,0,0,0,0,0,0,0,0,0,0,24.406371956566694,1.5,54.81181356564148,0.0121804030145869,11,10,3.0451007536467487,36.541209043760986
