index,variable,value
HVOL,HNDB,1.0
HTRP,HEFF,0.999999999999994
TCLOC,CLOC,0.9959098731152909
LOC,TLOC,0.9830132081225761
TLLOC,LLOC,0.9791981736904802
NOS,TNOS,0.9697808964507372
HVOL,HPL,0.9579563291916982
HNDB,HPL,0.9579563245915331
TLOC,TLLOC,0.9540972669688118
LOC,LLOC,0.9507888789480766
HPL,HCPL,0.9469881972236488
Size Metric Rules,WarningInfo,0.9435722285001198
TLLOC,LOC,0.9342462572487569
HCPL,HVOL,0.9335967780324216
HNDB,HCPL,0.9335967707333056
TLOC,LLOC,0.933538176500784
HCPL,HPV,0.9304061152751707
DLOC,CLOC,0.9259490057548557
TCLOC,DLOC,0.9199356503454886
HPV,HPL,0.918976001225885
HTRP,HNDB,0.8481907364354265
HVOL,HTRP,0.8481907230396641
HNDB,HEFF,0.8481907216383502
HVOL,HEFF,0.8481907082425858
TNOS,TLOC,0.814938244909065
HPV,HVOL,0.8128198622490188
HPV,HNDB,0.8128198525108243
TLLOC,TNOS,0.8103645692980761
HDIF,HPV,0.8033932835004275
NOS,LOC,0.8025306914259462
NOS,LLOC,0.796353267741741
TLOC,NOS,0.7930843821769481
NOS,McCC,0.7919147556748845
TLLOC,NOS,0.7866308588673447
TNOS,LOC,0.781772777240629
Anti Pattern,WarningInfo,0.7749475120626461
TNOS,LLOC,0.7732394609640897
TNOS,McCC,0.767181962845782
TLOC,WarningInfo,0.7448162375327372
Size Metric Rules,Anti Pattern,0.7261092790646416
WarningInfo,LOC,0.7249965561535382
HTRP,HPL,0.7241376065152857
HPL,HEFF,0.7241375890981152
WarningInfo,TLLOC,0.7179361344072421
TLOC,Size Metric Rules,0.7165194572612926
Size Metric Rules,LOC,0.7109847373934216
Complexity Metric Rules,McCC,0.7064617633291174
