Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
HEFF,HTRP,0.0,0.9999999999999986,0.9999999999999986,0.9999999999999986,1
HNDB,HVOL,0.0,0.9999999992903971,0.999999999286025,0.9999999992947425,1
CLOC,TCLOC,0.0,0.9974501362417958,0.9974344457233391,0.9974657309213096,1
LOC,TLOC,0.0,0.9914316661399958,0.9913791009657965,0.9914839121733254,1
LLOC,TLLOC,0.0,0.9891254934736349,0.9890588580787762,0.9891917252407895,1
NOS,TNOS,0.0,0.9870022581020202,0.986922697756135,0.9870813375618003,1
HCPL,HVOL,0.0,0.9793693353358042,0.9792435412453868,0.9794943749521636,1
HCPL,HNDB,0.0,0.979369307487217,0.9792435132287753,0.9794943472706142,1
HNDB,HPL,0.0,0.9750219378939673,0.9748699723844988,0.9751729959950898,1
HPL,HVOL,0.0,0.9750219089577943,0.9748699432745193,0.9751729672317123,1
TLLOC,TLOC,0.0,0.967036299808897,0.9668365658031384,0.9672348509126721,1
LLOC,LOC,0.0,0.9641811813291481,0.963964464485551,0.9643966184700467,1
HCPL,HPL,0.0,0.959885185360855,0.9596430102342981,0.9601259368076686,1
HPL,HPV,0.0,0.9592558188761732,0.9590099236980214,0.9595002694504569,1
HCPL,HPV,0.0,0.9504511935831872,0.950153513499016,0.9507471408386751,1
LOC,TLLOC,0.0,0.9478362177952872,0.9475232501034856,0.9481473686653734,1
WarningInfo,Size Metric Rules,0.0,0.94677995543118,0.9464608246582596,0.947097235663366,1
LLOC,TLOC,0.0,0.9436047118628407,0.9432670958009138,0.9439403767402823,1
HTRP,HVOL,0.0,0.9152722946462017,0.9147725013697976,0.9157692859522136,1
HEFF,HVOL,0.0,0.9152722945760167,0.9147725012992171,0.9157692858824221,1
HNDB,HTRP,0.0,0.915272264873971,0.9147724714297609,0.9157692563469391,1
HEFF,HNDB,0.0,0.9152722648037451,0.9147724713591392,0.9157692562771069,1
HNDB,HPV,0.0,0.9108663130219176,0.9103417463185867,0.9113879529859602,1
HPV,HVOL,0.0,0.9108663070541906,0.9103417403173865,0.9113879470515387,1
CLOC,DLOC,0.0,0.8877502049925521,0.8870976340834484,0.8883992271311508,1
DLOC,TCLOC,0.0,0.8806888761924738,0.8799978634198549,0.881376160952223,1
TLLOC,TNOS,0.0,0.8716098507308204,0.8708698654752766,0.8723458848129528,1
HCPL,HEFF,0.0,0.8632332917042015,0.8624485757769702,0.8640138577786894,1
HCPL,HTRP,0.0,0.8632332915691159,0.8624485756411666,0.8640138576443185,1
LLOC,NOS,0.0,0.8626750969865974,0.8618874157497348,0.8634586153755726,1
TLOC,TNOS,0.0,0.8611775078059388,0.8603818804252108,0.8619689376241674,1
HDIF,HPV,0.0,0.8538265932994815,0.8529921636368087,0.8546566581660325,1
LOC,NOS,0.0,0.852045108550071,0.8512013255659263,0.8528844869971205,1
NOS,TLLOC,0.0,0.8476117230222011,0.8467447487412658,0.8484741951943164,1
HEFF,HPL,0.0,0.842252843146176,0.8413579986814631,0.8431430700780771,1
HPL,HTRP,0.0,0.8422528426034191,0.8413579981358925,0.8431430695381225,1
LLOC,TNOS,0.0,0.8418864315032374,0.8409896879170645,0.8427785497647163,1
NOS,TLOC,0.0,0.8367410592044218,0.8358177347919657,0.8376596502226137,1
LOC,TNOS,0.0,0.8339088743613337,0.8329709889025209,0.8348419680117151,1
HDIF,HPL,0.0,0.8167297976962594,0.8157046537562791,0.8177498116387265,1
McCC,NOS,0.0,0.7785481509601075,0.7773356096712984,0.7797549074705895,1
WarningInfo,Anti Pattern,0.0,0.7605585402861834,0.759260831133354,0.7618502010646853,1
McCC,TNOS,0.0,0.7566303153262486,0.7553142751521433,0.757940253295846,1
HEFF,HPV,0.0,0.7397972930316163,0.7384037825123883,0.7411844855560527,1
HPV,HTRP,0.0,0.7397972923949037,0.7384037818727783,0.7411844849222294,1
TLOC,WarningInfo,0.0,0.7355687053458401,0.7341560090733282,0.7369750331653975,1
TLLOC,WarningInfo,0.0,0.7328336973873077,0.7314086508536168,0.7342523436256043,1
HCPL,HDIF,0.0,0.7249862571364326,0.7235260313054521,0.7264399947441462,1
LOC,WarningInfo,0.0,0.7190577059504061,0.7175711555260748,0.7205377050780857,1
LLOC,WarningInfo,0.0,0.7145809621193334,0.7130746775881968,0.7160806496230236,1
HDIF,HNDB,0.0,0.7106873844689959,0.7091640372622924,0.7122040961929863,1
HDIF,HVOL,0.0,0.7106873705844368,0.7091640233170545,0.7122040823689708,1
McCC,Complexity Metric Rules,0.0,0.7018479658650081,0.7002862299526086,0.7034029835078891,1
