Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
CLOC,DLOC,0.0,0.8877502049925521,0.8870976340834484,0.8883992271311508,1
CLOC,LLOC,0.0,0.41568217515247685,0.4131383830754214,0.4182194804247072,1
CLOC,LOC,0.0,0.645128494033491,0.6433319237809841,0.6469179591449173,1
CLOC,McCC,0.0,0.40291501684454617,0.40033918698245025,0.4054844796977808,1
CLOC,NOI,0.0,0.19850975138396385,0.19555774981055482,0.2014581556657678,1
CLOC,NOS,0.0,0.41747021224364833,0.41493098728261113,0.4200029342293281,1
CLOC,NUMPAR,0.0,0.25366726538089357,0.2507914224171247,0.2565386308684234,1
CLOC,TCLOC,0.0,0.9974501362417958,0.9974344457233391,0.9974657309213096,1
CLOC,TLLOC,0.0,0.4086308733942123,0.40606926259792403,0.4111860626158888,1
CLOC,TLOC,0.0,0.6311410878153577,0.6292896617836984,0.6329853502076062,1
CLOC,TNOS,0.0,0.40815295064172463,0.405590143222538,0.4107093409911329,1
CLOC,WarningInfo,0.0,0.39812018829770945,0.3955325859229918,0.4007014705868936,1
CLOC,Anti Pattern,0.0,0.3202103403229454,0.31745130722906734,0.3229639520689093,1
CLOC,Complexity Metric Rules,0.0,0.2843625307712905,0.2815371820076825,0.28718294885029894,1
CLOC,Coupling Metric Rules,1.931507004994645e-224,0.050073668347841,0.04700967087834909,0.05313672355260156,1
CLOC,Size Metric Rules,0.0,0.3795988982464412,0.3769671525373427,0.38222451474195657,1
CLOC,HCPL,0.0,0.26733984502863645,0.26448577710206495,0.27018923007045237,1
CLOC,HDIF,0.0,0.2849135991737938,0.28208920994291375,0.28773304985099524,1
CLOC,HEFF,0.0,0.2220591544704993,0.21913737788764923,0.2249769485008488,1
CLOC,HNDB,0.0,0.25742944156462594,0.25455947548369934,0.26029487310114235,1
CLOC,HPL,0.0,0.2802116203635751,0.27737910403991434,0.28303926558907183,1
CLOC,HPV,0.0,0.292831544720796,0.2900211488874021,0.29563689002538546,1
CLOC,HTRP,0.0,0.22205915393143114,0.2191373773478501,0.2249769479625203,1
CLOC,HVOL,0.0,0.2574293609905147,0.25455939478279044,0.26029479265504674,1
DLOC,LLOC,0.0,0.1842622344425995,0.1812936035393106,0.1872275072836279,1
DLOC,LOC,0.0,0.42047067797867743,0.41793916129112885,0.4229956648952418,1
DLOC,McCC,0.0,0.21476895578647617,0.21183745769144882,0.21769658917370976,1
DLOC,NOI,0.0,0.11788883783540412,0.11485919717040936,0.12091628545055108,1
DLOC,NOS,0.0,0.1636284725413693,0.1606379726028121,0.1666159682969029,1
DLOC,NUMPAR,0.0,0.22713984975669835,0.224225041730862,0.23005059388880547,1
DLOC,TCLOC,0.0,0.8806888761924738,0.8799978634198549,0.881376160952223,1
DLOC,TLLOC,0.0,0.18117377480827582,0.178201703857089,0.18414254012498354,1
DLOC,TLOC,0.0,0.40991734896720505,0.4073589662457212,0.41246929804046567,1
DLOC,TNOS,0.0,0.16150042543055004,0.15850781904220232,0.1644900645984037,1
DLOC,WarningInfo,0.0,0.23107612099217423,0.22816682109418684,0.23398129443276636,1
DLOC,Anti Pattern,0.0,0.19836198149152756,0.19540980103462618,0.20131056711517914,1
DLOC,Complexity Metric Rules,0.0,0.14895049193211649,0.14594602954096988,0.1519522067328284,1
DLOC,Coupling Metric Rules,1.5798336301610335e-25,0.016362352747733722,0.013291793719589643,0.019432603184855637,1
DLOC,Size Metric Rules,0.0,0.2256329320386636,0.22271604058753142,0.22854578365305211,1
DLOC,HCPL,0.0,0.12279887868603206,0.11977282322128374,0.1258226524986344,1
DLOC,HDIF,0.0,0.14425179493196522,0.14124314290808604,0.14725778229013708,1
DLOC,HEFF,0.0,0.0947507177815362,0.09170617739322284,0.0977934867569794,1
DLOC,HNDB,0.0,0.11548765357403609,0.11245631359460354,0.11851684395124837,1
DLOC,HPL,0.0,0.12939800651777442,0.12637700311047642,0.13241660972109556,1
DLOC,HPV,0.0,0.14152891823521108,0.1385179004812039,0.14453731954379648,1
DLOC,HTRP,0.0,0.0947507172549386,0.0917061768663235,0.09779348623069303,1
DLOC,HVOL,0.0,0.11548760224200454,0.1124562622266233,0.11851679265609504,1
LLOC,LOC,0.0,0.9641811813291481,0.963964464485551,0.9643966184700467,1
LLOC,McCC,0.0,0.6750811505012329,0.6734061149028927,0.6767492546761484,1
LLOC,NOI,0.0,0.27398495377267446,0.2711418845549862,0.27682324229837313,1
LLOC,NOS,0.0,0.8626750969865974,0.8618874157497348,0.8634586153755726,1
LLOC,NUMPAR,0.0,0.35246492885916186,0.3497723303617434,0.3551517041855086,1
LLOC,TCLOC,0.0,0.41817408566670766,0.4156366639907361,0.42070499804308253,1
LLOC,TLLOC,0.0,0.9891254934736349,0.9890588580787762,0.9891917252407895,1
LLOC,TLOC,0.0,0.9436047118628407,0.9432670958009138,0.9439403767402823,1
LLOC,TNOS,0.0,0.8418864315032374,0.8409896879170645,0.8427785497647163,1
LLOC,WarningInfo,0.0,0.7145809621193334,0.7130746775881968,0.7160806496230236,1
LLOC,Anti Pattern,0.0,0.5786402372891903,0.5765936954433268,0.5806795180745887,1
