Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
CLOC,DLOC,1.0209028501014948e-140,0.8987424868128241,0.87449916153344,0.9185062650338602,1
CLOC,LLOC,1.5240243151142355e-136,0.4175654449077851,0.3882113150640782,0.44607313597449133,1
CLOC,LOC,2.705279373217147e-231,0.649611094050999,0.621760113171172,0.6758212522502534,1
CLOC,McCC,1.752777588829135e-129,0.3938922148068386,0.3650397201522596,0.4219888076853138,1
CLOC,NOI,6.234077414236251e-88,0.18942657626612125,0.17113646711695224,0.20758616954560904,1
CLOC,NOS,1.8668296468882276e-122,0.41662680069731245,0.38563116279002035,0.4466831226792173,1
CLOC,NUMPAR,8.690947885167833e-71,0.2794578079281289,0.25004541751166465,0.3083549156497922,1
CLOC,TCLOC,1.4603506358896318e-255,0.999709852105534,0.9995181765548204,0.9998252833247764,1
CLOC,TLLOC,5.174334011690243e-133,0.41185781067336347,0.38241081231716817,0.4404690488174796,1
CLOC,TLOC,3.5837883971893487e-221,0.6388131008587179,0.6103515284981411,0.6656273925151616,1
CLOC,TNOS,3.4891339994449672e-121,0.41014338550189594,0.3793466198148545,0.44003238811817286,1
CLOC,WarningInfo,1.2726467546441466e-93,0.37916577394010487,0.34607414092585786,0.41131517445437366,1
CLOC,Anti Pattern,9.35861848796258e-143,0.3138888904604417,0.2911523806792885,0.33627101313054614,1
CLOC,Complexity Metric Rules,2.1950079385561956e-110,0.2646412091742456,0.24237041117522667,0.28663325246571547,1
CLOC,Coupling Metric Rules,2.438695240671977e-10,0.037108059357018504,0.02562589215413851,0.04858043675651889,1
CLOC,Size Metric Rules,7.604989067484099e-74,0.3511068349011051,0.31597456675362157,0.38527756422124354,1
CLOC,HCPL,5.843733027897918e-85,0.2929390554341024,0.26501651429574646,0.3203707120440924,1
CLOC,HDIF,1.1773990603803036e-103,0.287115673036276,0.26235703971906194,0.3114965376108549,1
CLOC,HEFF,2.5161999831356834e-70,0.2447131271887851,0.21858278457779973,0.27049277594470084,1
CLOC,HNDB,5.088506333859237e-79,0.28505843173344586,0.2567709704680382,0.3128579139874462,1
CLOC,HPL,2.7948910716654685e-84,0.29646471231602733,0.2681259479960936,0.32429086264706836,1
CLOC,HPV,1.5570782272919648e-92,0.3056048094541873,0.27786314346968477,0.3328371570515114,1
CLOC,HTRP,2.5162005458482055e-70,0.2447131275185185,0.21858278485620664,0.2704927763238668,1
CLOC,HVOL,5.092408400021277e-79,0.28505797312107545,0.25677049122021295,0.31285747621273174,1
DLOC,LLOC,2.9321948036497874e-27,0.1866454176669555,0.15341123301391857,0.21945783809462457,1
DLOC,LOC,4.812275253241942e-58,0.428469901667861,0.3817669628262457,0.47299039076609994,1
DLOC,McCC,1.8490036651531258e-35,0.19375191245128487,0.1637959083476573,0.22335092794215597,1
DLOC,NOI,1.386633986449913e-28,0.1046249811963286,0.08623771102931219,0.12294099988330966,1
