index,variable,value
CLOC,TCLOC,0.9971178218740362
LOC,TLOC,0.9845565893131433
TLLOC,LLOC,0.9757942374161117
TNOS,NOS,0.9753018064571047
Size Metric Rules,WarningInfo,0.9711631041264394
TLOC,TLLOC,0.9534914898737307
LOC,LLOC,0.9511659625208412
DLOC,CLOC,0.9463799813325414
TCLOC,DLOC,0.9427637597498147
TLOC,LLOC,0.936753821551359
LOC,TLLOC,0.9296805783493121
TNOS,TLLOC,0.8848548068849833
NOS,LLOC,0.8780520351723061
LLOC,TNOS,0.8591551615303775
TLLOC,NOS,0.8571865266726131
TNOS,TLOC,0.8536280129711272
LOC,NOS,0.8460910325032869
TLOC,NOS,0.8331826893956016
TNOS,LOC,0.8293969079374115
TLOC,WarningInfo,0.8206156600980123
LOC,WarningInfo,0.8147874530877836
NOS,McCC,0.8068313534415126
Anti Pattern,WarningInfo,0.8047600528882128
WarningInfo,TLLOC,0.8034256702537353
Size Metric Rules,TLOC,0.8001921105321411
LLOC,WarningInfo,0.8001814189629077
Size Metric Rules,LOC,0.7998846626853638
TNOS,McCC,0.7856537638565021
Size Metric Rules,LLOC,0.7822832148068388
Size Metric Rules,TLLOC,0.778730428856002
TCLOC,LOC,0.7653868010906416
CLOC,LOC,0.7651399048313989
TLOC,TCLOC,0.7573850973823347
Anti Pattern,Size Metric Rules,0.7515186338658315
TLOC,CLOC,0.7488579927363043
McCC,LLOC,0.7457864317723009
McCC,LOC,0.7333827328695953
TLLOC,McCC,0.7255175919743285
TLOC,McCC,0.7200853449994584
WarningInfo,TNOS,0.7196780726690214
WarningInfo,NOS,0.7127462041014657
Complexity Metric Rules,McCC,0.7066755631437592
