Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
CLOC,TCLOC,0.0,0.9976338006333684,0.9976058412176891,0.9976614339162226,1
LOC,TLOC,0.0,0.9916946094863034,0.9915969597836521,0.991791129102539,1
LLOC,TLLOC,0.0,0.9871032625288885,0.9869516852438046,0.987253090294764,1
NOS,TNOS,0.0,0.987037981711978,0.9868859427205352,0.9871882693918304,1
TLLOC,TLOC,0.0,0.9582022398639211,0.9577191668075759,0.9586799101356628,1
LLOC,LOC,0.0,0.9551372350432755,0.9546195594502853,0.9556491392666226,1
LLOC,TLOC,0.0,0.9387725762128978,0.9380720485051169,0.9394654270784206,1
LOC,TLLOC,0.0,0.9385722893865398,0.9378695435522735,0.9392673357049,1
CLOC,DLOC,0.0,0.9292712515114743,0.9284660262726508,0.9300677413890304,1
DLOC,TCLOC,0.0,0.9222138701115739,0.9213315749502679,0.9230866661298264,1
TLLOC,TNOS,0.0,0.9028639751276359,0.901773417769151,0.9039430361679568,1
LLOC,NOS,0.0,0.8972765755224913,0.8961267121017007,0.8984143920602857,1
NOS,TLLOC,0.0,0.881316908324902,0.879999695219553,0.8826205654566034,1
LLOC,TNOS,0.0,0.8811629060151691,0.8798440928672865,0.88246814908218,1
TLOC,TNOS,0.0,0.8739051012733761,0.8725112021186546,0.8752847752735203,1
LOC,NOS,0.0,0.8680170256128372,0.8665626723786757,0.8694566362348191,1
LOC,TNOS,0.0,0.8540681191047793,0.8524721984628881,0.8556481207580078,1
NOS,TLOC,0.0,0.8538956524389857,0.8522979959446255,0.855477375831961,1
McCC,NOS,0.0,0.7914660648448925,0.7892633391629108,0.7936484218331136,1
WarningInfo,Anti Pattern,0.0,0.7806579979304727,0.7783552323292947,0.7829397592210062,1
TLOC,WarningInfo,0.0,0.7763383641864424,0.7739960047027711,0.778659475895973,1
McCC,TNOS,0.0,0.7699845073744064,0.7675843117475442,0.7723631079820718,1
TLLOC,WarningInfo,0.0,0.7689508470480182,0.7665412879303236,0.7713387558738262,1
LOC,WarningInfo,0.0,0.766867833790412,0.7644394441583581,0.7692744627773045,1
LLOC,WarningInfo,0.0,0.7598210272313509,0.7573293169146633,0.7622906137535923,1
LLOC,McCC,0.0,0.7304296673049112,0.7276802233612443,0.7331556393285346,1
LOC,TCLOC,0.0,0.7271573293438679,0.7243798256952911,0.7299112273039239,1
CLOC,LOC,0.0,0.7265069105703909,0.7237238448657769,0.7292663443821855,1
TCLOC,TLOC,0.0,0.7252222170830696,0.7224281801000866,0.7279925707882073,1
McCC,Complexity Metric Rules,0.0,0.7196534651170488,0.716812097866156,0.7224709320606555,1
LOC,McCC,0.0,0.7193811704050111,0.7165374983042808,0.7222009318235181,1
McCC,TLLOC,0.0,0.7125063895056017,0.7096048175635016,0.7153837961060338,1
CLOC,TLOC,0.0,0.7104293279961696,0.7075103734125288,0.7133240430425296,1
McCC,TLOC,0.0,0.7037071947168068,0.7007323350217084,0.7066575834158382,1
