Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
CLOC,DLOC,0.0,0.9292712515114743,0.9284660262726508,0.9300677413890304,1
CLOC,LLOC,0.0,0.48536246568143715,0.4808633634715988,0.4898360091300869,1
CLOC,LOC,0.0,0.7265069105703909,0.7237238448657769,0.7292663443821855,1
CLOC,McCC,0.0,0.4320885386681009,0.4273032702071812,0.4368495989441683,1
CLOC,NOI,0.0,0.24811011157008533,0.24259450745399266,0.25360967626410347,1
CLOC,NOS,0.0,0.449295172598953,0.44459865986573877,0.4539669825035036,1
CLOC,NUMPAR,0.0,0.3890275712053384,0.38403552881864067,0.39399687040571246,1
CLOC,TCLOC,0.0,0.9976338006333684,0.9976058412176891,0.9976614339162226,1
CLOC,TLLOC,0.0,0.47356227658999056,0.46899689279903245,0.47810235387790456,1
CLOC,TLOC,0.0,0.7104293279961696,0.7075103734125288,0.7133240430425296,1
CLOC,TNOS,0.0,0.43827779043355725,0.43352404424484325,0.44300714431447213,1
CLOC,WarningInfo,0.0,0.48572853238430064,0.48123151272845305,0.49019998589659525,1
CLOC,Anti Pattern,0.0,0.3814144606265543,0.3763881410431711,0.3864183279905669,1
CLOC,Complexity Metric Rules,0.0,0.311017645654771,0.30570680611201273,0.3163091325985252,1
CLOC,Size Metric Rules,0.0,0.19536211624509803,0.18971077821289223,0.201000510021972,1
DLOC,LLOC,0.0,0.29603897311948,0.29067514348430373,0.301384196752687,1
DLOC,LOC,0.0,0.5527978755611849,0.5487091953154656,0.5568601118824527,1
DLOC,McCC,0.0,0.27741827051600637,0.2719922571785123,0.2828266441006551,1
DLOC,NOI,0.0,0.18237544392192206,0.17669571626474298,0.1880430261637223,1
DLOC,NOS,0.0,0.23897223444803598,0.2334307681944282,0.24449817874165905,1
DLOC,NUMPAR,0.0,0.3707832227613597,0.36571018313493053,0.37583423173373415,1
DLOC,TCLOC,0.0,0.9222138701115739,0.9213315749502679,0.9230866661298264,1
DLOC,TLLOC,0.0,0.2869803143015967,0.2815857224266124,0.2923567651045276,1
DLOC,TLOC,0.0,0.5377818533972389,0.5335971210172695,0.5419402535024331,1
DLOC,TNOS,0.0,0.23173450948849375,0.22617325743972283,0.23728065530575448,1
DLOC,WarningInfo,0.0,0.3461761240492658,0.341000067782963,0.3513311910255651,1
DLOC,Anti Pattern,0.0,0.2809634004521071,0.275548910823313,0.2863600632216946,1
DLOC,Complexity Metric Rules,0.0,0.18953060742265715,0.18386627568245742,0.19518235198651973,1
DLOC,Size Metric Rules,0.0,0.15054218270654265,0.14480126487422362,0.15627296518080203,1
LLOC,LOC,0.0,0.9551372350432755,0.9546195594502853,0.9556491392666226,1
LLOC,McCC,0.0,0.7304296673049112,0.7276802233612443,0.7331556393285346,1
LLOC,NOI,0.0,0.33251733030059966,0.3272871783508578,0.33772710878127143,1
LLOC,NOS,0.0,0.8972765755224913,0.8961267121017007,0.8984143920602857,1
LLOC,NUMPAR,0.0,0.4559168735145555,0.45125545030453545,0.46055341807534567,1
LLOC,TCLOC,0.0,0.4890414850413721,0.4845633849238974,0.4934939534298568,1
LLOC,TLLOC,0.0,0.9871032625288885,0.9869516852438046,0.987253090294764,1
LLOC,TLOC,0.0,0.9387725762128978,0.9380720485051169,0.9394654270784206,1
LLOC,TNOS,0.0,0.8811629060151691,0.8798440928672865,0.88246814908218,1
LLOC,WarningInfo,0.0,0.7598210272313509,0.7573293169146633,0.7622906137535923,1
LLOC,Anti Pattern,0.0,0.6094848230770671,0.6057828424375616,0.6131604143211892,1
LLOC,Complexity Metric Rules,0.0,0.5159075192887788,0.5115876452504885,0.5202013129979154,1
LLOC,Size Metric Rules,0.0,0.34696437802896635,0.34179151088007687,0.35211622115319163,1
LOC,McCC,0.0,0.7193811704050111,0.7165374983042808,0.7222009318235181,1
LOC,NOI,0.0,0.3505822394382419,0.3454241035564209,0.35571919301928595,1
LOC,NOS,0.0,0.8680170256128372,0.8665626723786757,0.8694566362348191,1
LOC,NUMPAR,0.0,0.4828546854296098,0.4783413591125532,0.48734250428100745,1
LOC,TCLOC,0.0,0.7271573293438679,0.7243798256952911,0.7299112273039239,1
LOC,TLLOC,0.0,0.9385722893865398,0.9378695435522735,0.9392673357049,1
LOC,TLOC,0.0,0.9916946094863034,0.9915969597836521,0.991791129102539,1
LOC,TNOS,0.0,0.8540681191047793,0.8524721984628881,0.8556481207580078,1
LOC,WarningInfo,0.0,0.766867833790412,0.7644394441583581,0.7692744627773045,1
LOC,Anti Pattern,0.0,0.6070850931692341,0.603365969835408,0.6107778089205337,1
LOC,Complexity Metric Rules,0.0,0.5114697348796039,0.5071231353999065,0.5157903177336459,1
LOC,Size Metric Rules,0.0,0.35627005303570114,0.35113538943646094,0.36138328934294,1
McCC,NOI,0.0,0.30293846687027415,0.2975987167087684,0.3082592636371942,1
McCC,NOS,0.0,0.7914660648448925,0.7892633391629108,0.7936484218331136,1
McCC,NUMPAR,0.0,0.33666909839618114,0.3314551565062439,0.3418624768695203,1
McCC,TCLOC,0.0,0.43019552479408146,0.42540070556543796,0.43496619352352417,1
McCC,TLLOC,0.0,0.7125063895056017,0.7096048175635016,0.7153837961060338,1
McCC,TLOC,0.0,0.7037071947168068,0.7007323350217084,0.7066575834158382,1
McCC,TNOS,0.0,0.7699845073744064,0.7675843117475442,0.7723631079820718,1
McCC,WarningInfo,0.0,0.6512344411772782,0.647841639477684,0.6546014070587088,1
McCC,Anti Pattern,0.0,0.5888605134647517,0.5850134305309713,0.5926810974423773,1
McCC,Complexity Metric Rules,0.0,0.7196534651170488,0.716812097866156,0.7224709320606555,1
McCC,Size Metric Rules,0.0,0.2519106687661996,0.24640611087184483,0.2573989745227242,1
NOI,NOS,0.0,0.34648909854409626,0.3413143076314794,0.3516428863647368,1
NOI,NUMPAR,0.0,0.179720220034873,0.17403493244326504,0.1853935271348744,1
NOI,TCLOC,0.0,0.25046780414043146,0.2449590325448088,0.2559604041789481,1
NOI,TLLOC,0.0,0.3365923167599451,0.3313780732386137,0.341786000355837,1
NOI,TLOC,0.0,0.35288171113478506,0.3477330186267972,0.35800912172806587,1
NOI,TNOS,0.0,0.34977059854175435,0.34460914435811263,0.35491090576839357,1
NOI,WarningInfo,0.0,0.2572414793935335,0.2517527023082312,0.26271370851675807,1
NOI,Anti Pattern,0.0,0.21049499980123887,0.20487924906439703,0.21609689266701246,1
NOI,Complexity Metric Rules,0.0,0.20345413203280224,0.19782148805241317,0.20907334082821316,1
NOI,Size Metric Rules,0.0,0.28853617200720083,0.2831467948010923,0.29390732758701493,1
NOS,NUMPAR,0.0,0.3118273401537164,0.3065194404988987,0.31711584766029266,1
NOS,TCLOC,0.0,0.4494124592616029,0.44471656353756617,0.45408364897157183,1
NOS,TLLOC,0.0,0.881316908324902,0.879999695219553,0.8826205654566034,1
NOS,TLOC,0.0,0.8538956524389857,0.8522979959446255,0.855477375831961,1
NOS,TNOS,0.0,0.987037981711978,0.9868859427205352,0.9871882693918304,1
NOS,WarningInfo,0.0,0.6666997290393792,0.6634267083535902,0.6699472364540481,1
NOS,Anti Pattern,0.0,0.5271547080514479,0.5229036121834656,0.5313795810304627,1
NOS,Complexity Metric Rules,0.0,0.5588294636967766,0.5547801176543532,0.5628523353921081,1
NOS,Size Metric Rules,0.0,0.2682836609837629,0.2628286379597781,0.2737215329607837,1
NUMPAR,TCLOC,0.0,0.388117170055143,0.3831209926309561,0.39309063860080373,1
NUMPAR,TLLOC,0.0,0.4402745055635294,0.4355310254431626,0.4449935354518831,1
NUMPAR,TLOC,0.0,0.4694920012519299,0.46490413704628547,0.4740546523229528,1
NUMPAR,TNOS,0.0,0.30414264577148775,0.2988071558088011,0.30945912231571654,1
NUMPAR,WarningInfo,0.0,0.5572559011669548,0.5531962517705352,0.5612890833466802,1
NUMPAR,Anti Pattern,0.0,0.6040297551193936,0.6002889045591925,0.6077441770315063,1
NUMPAR,Complexity Metric Rules,0.0,0.22647656313472755,0.2209013245802264,0.23203700062481677,1
NUMPAR,Size Metric Rules,0.0,0.2640269243687242,0.25855871893156335,0.2694782096758693,1
TCLOC,TLLOC,0.0,0.49208917635635047,0.4876285956789436,0.496524066929438,1
TCLOC,TLOC,0.0,0.7252222170830696,0.7224281801000866,0.7279925707882073,1
TCLOC,TNOS,0.0,0.45292120884051124,0.44824384683378105,0.45757377072317956,1
TCLOC,WarningInfo,0.0,0.5001086302589888,0.49569467426198005,0.5044967516035075,1
TCLOC,Anti Pattern,0.0,0.38708492338668193,0.38208406935239925,0.3920631076027161,1
TCLOC,Complexity Metric Rules,0.0,0.3151358998775456,0.30984009354725106,0.32041215333457035,1
TCLOC,Size Metric Rules,0.0,0.19575452615722494,0.19010407687086733,0.20139200725762216,1
TLLOC,TLOC,0.0,0.9582022398639211,0.9577191668075759,0.9586799101356628,1
TLLOC,TNOS,0.0,0.9028639751276359,0.901773417769151,0.9039430361679568,1
TLLOC,WarningInfo,0.0,0.7689508470480182,0.7665412879303236,0.7713387558738262,1
TLLOC,Anti Pattern,0.0,0.6112382208444332,0.6075488089630788,0.6149012575360152,1
TLLOC,Complexity Metric Rules,0.0,0.5222484625671688,0.5179671800427387,0.5265035810354503,1
TLLOC,Size Metric Rules,0.0,0.34062135066107857,0.3354230289324411,0.34579893038161497,1
TLOC,TNOS,0.0,0.8739051012733761,0.8725112021186546,0.8752847752735203,1
TLOC,WarningInfo,0.0,0.7763383641864424,0.7739960047027711,0.778659475895973,1
TLOC,Anti Pattern,0.0,0.6088147392823811,0.6051079649616162,0.6124951189835712,1
TLOC,Complexity Metric Rules,0.0,0.5167640488157436,0.5124493598667004,0.5210526456226872,1
TLOC,Size Metric Rules,0.0,0.35121644125822227,0.34606090365330816,0.3563507690117822,1
TNOS,WarningInfo,0.0,0.6773831412458908,0.674194524016829,0.6805465064177456,1
TNOS,Anti Pattern,0.0,0.5325379981627654,0.5283203521741071,0.5367293627454721,1
TNOS,Complexity Metric Rules,0.0,0.5659590306382574,0.5619567352548831,0.5699348265575543,1
TNOS,Size Metric Rules,0.0,0.2619614438189225,0.25648691892182496,0.267419161347451,1
WarningInfo,Anti Pattern,0.0,0.7806579979304727,0.7783552323292947,0.7829397592210062,1
WarningInfo,Complexity Metric Rules,0.0,0.651316329695104,0.6479241547555924,0.6546826703534439,1
WarningInfo,Size Metric Rules,0.0,0.6107493841460172,0.6070564645038057,0.6144159245600269,1
Anti Pattern,Complexity Metric Rules,0.0,0.6763786761543784,0.6731820654900589,0.6795500088487121,1
Anti Pattern,Size Metric Rules,0.0,0.32173149026261105,0.3164601773935122,0.32698293412320867,1
Complexity Metric Rules,Size Metric Rules,0.0,0.18258020307060188,0.17690090761876537,0.18824734041083802,1
