Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
CLOC,DLOC,3.343252201798836e-52,0.9235292225765611,0.8863483503504553,0.9488761184299856,1
CLOC,LLOC,1.1018575318943491e-26,0.4539177165161465,0.37984247969903606,0.5222087205787854,1
CLOC,LOC,2.6493501239524315e-50,0.6932872165733852,0.6303504331096835,0.7471700936211375,1
CLOC,McCC,1.974757148095003e-25,0.4047063869807748,0.3350749635874612,0.46994101041711295,1
CLOC,NOI,9.853855912635013e-8,0.2042588647505682,0.13023805870043723,0.2760153689009842,1
CLOC,NOS,6.0869146194862606e-21,0.4184317408671903,0.3387902350345704,0.4921196276127189,1
CLOC,NUMPAR,5.050737925887943e-17,0.3618372939974656,0.2825160058699092,0.43624397962993217,1
CLOC,TCLOC,1.2477393040434606e-89,0.9984230522171378,0.9968346044413249,0.9992147041413088,1
CLOC,TLLOC,2.596012211829286e-27,0.43778962661903636,0.3666038195844876,0.503879436491483,1
CLOC,TLOC,2.4502958347620955e-48,0.6744631152827457,0.6100653127853456,0.7300090355801517,1
CLOC,TNOS,7.206286553855907e-21,0.40468982444230134,0.32699897254752985,0.4769471671273007,1
CLOC,WarningInfo,6.17907159606381e-22,0.43469198268418574,0.35474126594897204,0.5083316445384936,1
CLOC,Anti Pattern,1.6178979285179596e-34,0.3471978746551273,0.29525084724993733,0.39709818390123575,1
CLOC,Complexity Metric Rules,2.3462437594699132e-23,0.27650307492193404,0.22413978346244348,0.32727446059901527,1
CLOC,Size Metric Rules,8.138359953878664e-11,0.2931987034929863,0.20787829029926597,0.3740912851496225,1
DLOC,LLOC,2.953452536452189e-8,0.28070068412879295,0.18434125532751844,0.37171542756273057,1
DLOC,LOC,1.1765618445491239e-18,0.525609185005524,0.42536570125227574,0.6131120172544852,1
DLOC,McCC,8.880274385694167e-9,0.24507018197631766,0.16342418373570433,0.32338205009905746,1
DLOC,NOI,0.0009806534286818185,0.13788388349308403,0.05619085772723282,0.21774295280819156,1
DLOC,NOS,6.277642151966715e-6,0.21760681729474873,0.12453323239090482,0.3068842929047466,1
DLOC,NUMPAR,4.2525556137693205e-14,0.34037562525350373,0.2566531694019034,0.4190279547828922,1
DLOC,TCLOC,3.35885836537169e-48,0.9162535043686051,0.8751993456508937,0.9442044110119682,1
DLOC,TLLOC,3.224825958118716e-8,0.26558594743739766,0.17386119344765497,0.3527420620108471,1
DLOC,TLOC,3.0322939178934737e-18,0.505858145453572,0.4068072379037263,0.5931527946134216,1
DLOC,TNOS,8.43774623557888e-6,0.2059552343786118,0.11646317261269051,0.2921299482462526,1
DLOC,WarningInfo,9.479651648032494e-10,0.30489901744553766,0.2108163891345363,0.3933847901443311,1
DLOC,Anti Pattern,3.535343430838433e-14,0.24210787152788182,0.18109737678448046,0.30126200773844436,1
DLOC,Complexity Metric Rules,1.616359334247593e-6,0.14536533541605784,0.08636055773555627,0.20335387456460266,1
DLOC,Size Metric Rules,2.206958530876648e-6,0.2118092297086712,0.12535150274413584,0.29507413203649785,1
LLOC,LOC,1.7209611220132743e-196,0.9616327551964297,0.9506254020694399,0.970223637333408,1
LLOC,McCC,1.2406510150051932e-62,0.7687939525727099,0.7153194298288708,0.8133169879653193,1
LLOC,NOI,6.815743359388996e-31,0.2979677698785339,0.2497760582319475,0.3446870114998765,1
LLOC,NOS,7.044902046954126e-94,0.9030544983854537,0.8732468492397364,0.9261289160718531,1
LLOC,NUMPAR,4.672736977434694e-16,0.44437682752931756,0.34729948835506835,0.5320307233351502,1
LLOC,TCLOC,9.284929517022594e-28,0.45526142438767214,0.382624828721242,0.5223046674760674,1
LLOC,TLLOC,1.601291626928673e-149,0.9915048402267639,0.987218038657083,0.9943580203535631,1
LLOC,TLOC,3.934438709228353e-196,0.9464676692396036,0.9327152754028271,0.9574710496520736,1
LLOC,TNOS,2.02616784583224e-91,0.8872158288979382,0.8544824042760611,0.9129317443594958,1
LLOC,WarningInfo,4.697578381323425e-121,0.7559269921618946,0.7182340698501478,0.7891962105878125,1
LLOC,Anti Pattern,1.8580632126982386e-150,0.6125445457113157,0.5780276485572474,0.6448733980668744,1
LLOC,Complexity Metric Rules,8.565954714645148e-74,0.5249576695935744,0.4779025248605138,0.5690086293493904,1
LLOC,Size Metric Rules,1.2252451343444204e-18,0.5550424175707276,0.45142677264582176,0.6438887535661826,1
LOC,McCC,1.448458614261894e-67,0.7483020291294055,0.6961149765680318,0.7926226258225515,1
LOC,NOI,2.2417916253272884e-25,0.31082262023812046,0.2551657853308325,0.36442648661450494,1
LOC,NOS,8.026988228612471e-91,0.8750944138285581,0.840558748293419,0.9025455881925389,1
LOC,NUMPAR,4.536907231122824e-20,0.47032381485006464,0.3811718614352619,0.5508091233467184,1
LOC,TCLOC,9.814199322909841e-51,0.6927931521671598,0.6301511232829118,0.7464754369960552,1
LOC,TLLOC,2.1678935462257263e-206,0.9469647108148789,0.9336816062723148,0.9576455781555159,1
LOC,TLOC,1.4326816438067423e-53,0.997901998562002,0.9949873312754118,0.9991226481870861,1
LOC,TNOS,7.317459833146376e-90,0.860943091176258,0.8244359801032031,0.8903152362298585,1
LOC,WarningInfo,3.0337048338926815e-115,0.7604572268709581,0.7219161892886253,0.7942947906811212,1
LOC,Anti Pattern,1.2491082127017162e-173,0.607182964386487,0.5752251480392946,0.6372900639843849,1
LOC,Complexity Metric Rules,6.898593682617992e-79,0.5142510603607057,0.4693528676089567,0.556497032694042,1
LOC,Size Metric Rules,5.757577343046591e-18,0.5685462067062964,0.46127090372535584,0.6594385870489201,1
McCC,NOI,2.4201943394665594e-40,0.2702028320997845,0.23194105032890996,0.3076297909357284,1
McCC,NOS,5.755001801860927e-81,0.8440154720383601,0.8033393270543723,0.8768529254562047,1
McCC,NUMPAR,2.957327461944071e-12,0.3017803062539428,0.2203385977134463,0.3790436032584635,1
McCC,TCLOC,5.345405912353845e-25,0.40262281211647244,0.33262226326841354,0.4682110486927387,1
McCC,TLLOC,7.327539985056958e-60,0.7497144173866906,0.6939423563576941,0.7965439665463833,1
McCC,TLOC,2.5242982459205093e-64,0.7304343142883484,0.6761885750884339,0.7768027199992134,1
McCC,TNOS,2.1179185057424382e-75,0.8240863524908543,0.7797288940294866,0.8602128536815763,1
McCC,WarningInfo,2.3272660785307794e-53,0.6450705115864027,0.5843697405455041,0.6985927007162998,1
McCC,Anti Pattern,1.0560050503108169e-83,0.5779274021456219,0.5318179344137582,0.6206204125908293,1
McCC,Complexity Metric Rules,1.707450506528569e-297,0.7026530951821803,0.678394004661505,0.7253817020448801,1
McCC,Size Metric Rules,2.988045550495271e-21,0.3951559818937724,0.3197268865396812,0.4656081032196195,1
NOI,NOS,2.366870982707138e-32,0.3261943281486117,0.2752432605791768,0.37531809704012536,1
NOI,NUMPAR,1.5397213973548515e-9,0.15345983635029062,0.10411058907169411,0.20205529274707473,1
NOI,TCLOC,6.023239066102199e-8,0.20583645921592997,0.13249697572936794,0.27693439101978307,1
NOI,TLLOC,6.761250383313683e-34,0.30141218744909914,0.2550776105982954,0.3463656695655485,1
NOI,TLOC,4.736372189814091e-27,0.3129085578351393,0.25882608013597674,0.3650352763255407,1
NOI,TNOS,9.242402817342263e-35,0.32775724734637257,0.2785214652673289,0.3752748334368264,1
NOI,WarningInfo,6.412397093988889e-19,0.22284892259097538,0.1748373399879496,0.269803240252677,1
NOI,Anti Pattern,1.971906471065955e-35,0.1964722697415335,0.16610045883075394,0.22647167938771623,1
NOI,Complexity Metric Rules,9.017507090347038e-25,0.18759058010108956,0.15243380484268432,0.22227320043867188,1
NOI,Size Metric Rules,2.1538228673565084e-11,0.2512771041943525,0.1796360592050317,0.3202668733925143,1
NOS,NUMPAR,3.8226119434716466e-12,0.29566835355621507,0.21531684954221814,0.3720432874695574,1
NOS,TCLOC,6.495567018266017e-21,0.4174358633954269,0.33788479965845375,0.4910649339757856,1
NOS,TLLOC,2.493682180165867e-94,0.8885406741854268,0.8565798575867355,0.9137101368425107,1
NOS,TLOC,1.746363797199467e-86,0.8617534061832148,0.8245406644576193,0.8915429378282067,1
NOS,TNOS,1.1393553921022139e-46,0.9968009943607066,0.9923095149519876,0.9986710616197498,1
NOS,WarningInfo,4.341868157636102e-54,0.6695863558538523,0.6090906916039819,0.7223354572857634,1
NOS,Anti Pattern,5.77741303465169e-79,0.542775188555267,0.4965636282248809,0.5859185588940078,1
NOS,Complexity Metric Rules,2.1541021730188067e-104,0.5842142961688438,0.5430144487811472,0.6226082141818029,1
NOS,Size Metric Rules,1.1587497285414136e-19,0.442578147848934,0.35637537316895557,0.5213100926382722,1
NUMPAR,TCLOC,4.28961578197333e-17,0.36063502725482055,0.28172631237449836,0.4346982803905727,1
NUMPAR,TLLOC,2.861634911558755e-16,0.425005425535941,0.3319722857575482,0.5098500319520809,1
NUMPAR,TLOC,3.161066162248371e-20,0.4527541808543923,0.36644687834605194,0.5313366180491204,1
NUMPAR,TNOS,2.4851041549302933e-12,0.28568291022131154,0.20852493371106962,0.35930670891599176,1
NUMPAR,WarningInfo,9.258370627304205e-31,0.532995136296109,0.45682910689439843,0.6014030103599045,1
NUMPAR,Anti Pattern,2.5529065599931524e-47,0.5770170856112292,0.5144221549747499,0.6334957926602938,1
NUMPAR,Complexity Metric Rules,1.4149666862905867e-8,0.18226104339488933,0.12004186802497865,0.24305404122922578,1
NUMPAR,Size Metric Rules,2.5461609664150012e-11,0.4263785712543498,0.31098851266100813,0.5293811824967072,1
TCLOC,TLLOC,2.9247243359847066e-31,0.45349818430508343,0.3856372331074113,0.5164790439208741,1
TCLOC,TLOC,8.842424435109831e-57,0.6873320413114646,0.6284461954701168,0.7383846463273379,1
TCLOC,TNOS,9.08350783447224e-23,0.41718929376410346,0.34135455681907384,0.4876278510184745,1
TCLOC,WarningInfo,2.4990941750002493e-25,0.44463497244015576,0.36955269718019756,0.5139488575168061,1
TCLOC,Anti Pattern,1.0487984469359938e-36,0.3515978024005266,0.30078749174912933,0.4004177453739569,1
TCLOC,Complexity Metric Rules,1.066103162325042e-23,0.2802939151388077,0.22769069794244512,0.3312658751065335,1
TCLOC,Size Metric Rules,9.196035916722688e-11,0.295043169939657,0.2089778575192169,0.3765730989559704,1
TLLOC,TLOC,4.370632190954918e-191,0.9639148354562955,0.9531908000323297,0.9722169313113395,1
TLLOC,TNOS,4.292823627777579e-102,0.9075995251863298,0.8799255098175307,0.9291358320860722,1
TLLOC,WarningInfo,9.363947033096364e-123,0.7624568402004243,0.7252839491963005,0.7951968204117298,1
TLLOC,Anti Pattern,1.3631421075116475e-130,0.6162670152285431,0.5790351114045563,0.6509339212101787,1
TLLOC,Complexity Metric Rules,1.6109072521073902e-66,0.5353228704787677,0.48507240492030096,0.5820496235140714,1
TLLOC,Size Metric Rules,2.1397539518380003e-18,0.5501171783913372,0.44623689575601694,0.6393697861284067,1
TLOC,TNOS,1.9782782724680605e-98,0.8797727709558888,0.8473836337057717,0.9056391972906666,1
TLOC,WarningInfo,3.749722666251244e-121,0.7672313682877043,0.7299813067623014,0.7999369208309823,1
TLOC,Anti Pattern,1.0983160297616477e-157,0.6110028919125011,0.5773436747180303,0.6425889617538646,1
TLOC,Complexity Metric Rules,4.390099759441302e-72,0.5235062558940156,0.4759370935548415,0.5680213204493252,1
TLOC,Size Metric Rules,1.0124180748887221e-17,0.5646359940890315,0.45689196393656256,0.656051536171164,1
TNOS,WarningInfo,1.2909384983271391e-53,0.6750223163603996,0.6142174532277634,0.7278591793942571,1
TNOS,Anti Pattern,1.0999124065721336e-70,0.5482039681618484,0.49895093654403094,0.5939270385475759,1
TNOS,Complexity Metric Rules,2.0951910297183467e-84,0.5954449423226363,0.5490262224345875,0.638201729393698,1
TNOS,Size Metric Rules,1.918084934010139e-19,0.4352974400043938,0.3496478144201811,0.5137312835205091,1
WarningInfo,Anti Pattern,0.0,0.779739136756507,0.7577756443546285,0.7999377738506721,1
WarningInfo,Complexity Metric Rules,1.6698176610403807e-80,0.6550599420661697,0.6064139183898308,0.6988207235975954,1
WarningInfo,Size Metric Rules,1.930443924084762e-15,0.8644600280729775,0.7562574766957986,0.9266356451124586,1
Anti Pattern,Complexity Metric Rules,5.517412124310587e-71,0.6877730680050861,0.6356782588235449,0.7336318536077234,1
Anti Pattern,Size Metric Rules,1.4835537725776524e-14,0.5440538175455344,0.42553306564102583,0.6442247443051468,1
Complexity Metric Rules,Size Metric Rules,8.422190501513843e-19,0.2982481821820671,0.23503001933104872,0.35895366982596205,1
