Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
CLOC,TCLOC,1.2477393040434606e-89,0.9984230522171378,0.9968346044413249,0.9992147041413088,1
LOC,TLOC,1.4326816438067423e-53,0.997901998562002,0.9949873312754118,0.9991226481870861,1
NOS,TNOS,1.1393553921022139e-46,0.9968009943607066,0.9923095149519876,0.9986710616197498,1
LLOC,TLLOC,1.601291626928673e-149,0.9915048402267639,0.987218038657083,0.9943580203535631,1
TLLOC,TLOC,4.370632190954918e-191,0.9639148354562955,0.9531908000323297,0.9722169313113395,1
LLOC,LOC,1.7209611220132743e-196,0.9616327551964297,0.9506254020694399,0.970223637333408,1
LOC,TLLOC,2.1678935462257263e-206,0.9469647108148789,0.9336816062723148,0.9576455781555159,1
LLOC,TLOC,3.934438709228353e-196,0.9464676692396036,0.9327152754028271,0.9574710496520736,1
CLOC,DLOC,3.343252201798836e-52,0.9235292225765611,0.8863483503504553,0.9488761184299856,1
DLOC,TCLOC,3.35885836537169e-48,0.9162535043686051,0.8751993456508937,0.9442044110119682,1
TLLOC,TNOS,4.292823627777579e-102,0.9075995251863298,0.8799255098175307,0.9291358320860722,1
LLOC,NOS,7.044902046954126e-94,0.9030544983854537,0.8732468492397364,0.9261289160718531,1
NOS,TLLOC,2.493682180165867e-94,0.8885406741854268,0.8565798575867355,0.9137101368425107,1
LLOC,TNOS,2.02616784583224e-91,0.8872158288979382,0.8544824042760611,0.9129317443594958,1
TLOC,TNOS,1.9782782724680605e-98,0.8797727709558888,0.8473836337057717,0.9056391972906666,1
LOC,NOS,8.026988228612471e-91,0.8750944138285581,0.840558748293419,0.9025455881925389,1
WarningInfo,Size Metric Rules,1.930443924084762e-15,0.8644600280729775,0.7562574766957986,0.9266356451124586,1
NOS,TLOC,1.746363797199467e-86,0.8617534061832148,0.8245406644576193,0.8915429378282067,1
LOC,TNOS,7.317459833146376e-90,0.860943091176258,0.8244359801032031,0.8903152362298585,1
McCC,NOS,5.755001801860927e-81,0.8440154720383601,0.8033393270543723,0.8768529254562047,1
McCC,TNOS,2.1179185057424382e-75,0.8240863524908543,0.7797288940294866,0.8602128536815763,1
WarningInfo,Anti Pattern,0.0,0.779739136756507,0.7577756443546285,0.7999377738506721,1
LLOC,McCC,1.2406510150051932e-62,0.7687939525727099,0.7153194298288708,0.8133169879653193,1
TLOC,WarningInfo,3.749722666251244e-121,0.7672313682877043,0.7299813067623014,0.7999369208309823,1
TLLOC,WarningInfo,9.363947033096364e-123,0.7624568402004243,0.7252839491963005,0.7951968204117298,1
LOC,WarningInfo,3.0337048338926815e-115,0.7604572268709581,0.7219161892886253,0.7942947906811212,1
LLOC,WarningInfo,4.697578381323425e-121,0.7559269921618946,0.7182340698501478,0.7891962105878125,1
McCC,TLLOC,7.327539985056958e-60,0.7497144173866906,0.6939423563576941,0.7965439665463833,1
LOC,McCC,1.448458614261894e-67,0.7483020291294055,0.6961149765680318,0.7926226258225515,1
McCC,TLOC,2.5242982459205093e-64,0.7304343142883484,0.6761885750884339,0.7768027199992134,1
McCC,Complexity Metric Rules,1.707450506528569e-297,0.7026530951821803,0.678394004661505,0.7253817020448801,1
